Map,Proportionality,Competitiveness,Minority,Compactness,Splitting
Official,40,38,50,50,40
Most Proportional,100,31,47,88,79
Most Competitive,79,100,0,39,28
Best Minority,49,28,85,27,38
Most Compact,85,22,45,99,32
Least Splitting,70,43,47,36,94
Baseline,52,38,49,74,18
