REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,47,26,718772,0.945300,0.018200
2,5,15,659898,0.867900,0.034900
3,36,18,634752,0.834800,0.050900
4,50,10,631014,0.829900,0.066900
5,10,14,628843,0.827000,0.082800
6,8,1,621768,0.817700,0.098500
7,25,51,621677,0.817600,0.114200
8,7,5,607286,0.798700,0.129600
9,26,50,600734,0.790100,0.144800
10,37,35,561480,0.738400,0.159000
11,20,8,553527,0.728000,0.173000
12,32,52,553288,0.727700,0.187000
13,22,42,552721,0.726900,0.201000
14,46,27,543719,0.715100,0.214700
15,1,11,543509,0.714800,0.228500
16,43,30,540767,0.711200,0.242100
17,51,17,540267,0.710600,0.255800
18,14,19,540225,0.710500,0.269500
19,18,22,538662,0.708400,0.283100
20,39,33,535233,0.703900,0.296600
21,48,25,514846,0.677100,0.309600
22,27,46,489213,0.643400,0.322000
23,35,24,484449,0.637100,0.334300
24,6,4,472453,0.621400,0.346200
25,19,41,457743,0.602000,0.357800
26,45,38,446096,0.586700,0.369100
27,17,23,440032,0.578700,0.380200
28,38,32,439643,0.578200,0.391300
29,13,20,436420,0.574000,0.402400
30,28,47,421621,0.554500,0.413000
31,9,2,404233,0.531600,0.423300
32,41,34,403557,0.530800,0.433500
33,23,43,402369,0.529200,0.443600
34,30,39,381910,0.502300,0.453300
35,11,7,381636,0.501900,0.463000
36,16,21,377711,0.496800,0.472500
37,40,29,372501,0.489900,0.481900
38,4,16,371551,0.488700,0.491300
39,49,28,366748,0.482300,0.500600
40,12,9,366425,0.481900,0.509900
41,29,48,365149,0.480200,0.519100
42,34,34,354717,0.466500,0.528100
43,28,45,338286,0.444900,0.536600
44,33,49,335362,0.441100,0.545100
45,24,44,324963,0.427400,0.553300
46,3,12,323884,0.426000,0.561500
47,42,37,322409,0.424000,0.569700
48,3,13,321530,0.422900,0.577800
49,30,38,319218,0.419800,0.585900
50,52,13,303198,0.398800,0.593600
51,49,29,302219,0.397500,0.601200
52,45,37,299786,0.394300,0.608800
53,19,40,298395,0.392400,0.616300
54,41,36,296840,0.390400,0.623800
55,9,3,295063,0.388100,0.631300
56,23,44,291203,0.383000,0.638700
57,33,48,291178,0.383000,0.646000
58,21,43,286754,0.377100,0.653300
59,31,49,282633,0.371700,0.660400
60,29,45,277581,0.365100,0.667400
61,21,41,276766,0.364000,0.674400
62,16,20,275770,0.362700,0.681400
63,35,23,274708,0.361300,0.688400
64,52,16,273098,0.359200,0.695300
65,2,9,271300,0.356800,0.702100
66,4,12,261185,0.343500,0.708700
67,44,4,255072,0.335500,0.715200
68,24,46,250968,0.330100,0.721500
69,34,36,232798,0.306200,0.727400
70,11,6,226449,0.297800,0.733200
71,44,6,225473,0.296500,0.738900
72,15,31,225421,0.296500,0.744600
73,6,3,220737,0.290300,0.750100
74,15,30,218241,0.287000,0.755700
75,38,31,218176,0.286900,0.761200
76,42,31,218070,0.286800,0.766700
77,15,25,211850,0.278600,0.772100
78,46,28,208548,0.274300,0.777300
79,18,24,207699,0.273200,0.782600
80,17,21,204304,0.268700,0.787800
81,31,52,203205,0.267300,0.792900
82,37,36,192784,0.253500,0.797800
83,44,3,189698,0.249500,0.802600
84,12,6,187990,0.247200,0.807300
85,40,33,184178,0.242200,0.812000
86,42,39,184108,0.242100,0.816600
87,21,42,181249,0.238400,0.821200
88,2,8,175942,0.231400,0.825700
89,52,17,175863,0.231300,0.830100
90,39,32,162521,0.213700,0.834200
91,13,21,162370,0.213500,0.838300
92,13,19,149405,0.196500,0.842100
93,2,7,146982,0.193300,0.845800
94,31,40,144844,0.190500,0.849500
95,27,44,141721,0.186400,0.853100
96,8,2,137770,0.181200,0.856600
97,1,12,136631,0.179700,0.860000
98,24,45,132596,0.174400,0.863400
99,27,47,127861,0.168200,0.866600
100,12,7,121508,0.159800,0.869700
101,14,14,120802,0.158900,0.872700
102,48,27,118956,0.156400,0.875700
103,33,50,118417,0.155700,0.878700
104,7,6,118003,0.155200,0.881700
105,29,47,117678,0.154800,0.884700
106,3,9,116347,0.153000,0.887600
107,10,5,115805,0.152300,0.890600
108,20,7,115730,0.152200,0.893500
109,51,16,114179,0.150200,0.896400
110,50,11,111545,0.146700,0.899200
111,16,22,108037,0.142100,0.901900
112,40,32,105487,0.138700,0.904600
113,2,11,103378,0.136000,0.907200
114,51,18,103324,0.135900,0.909800
115,38,39,101689,0.133700,0.912400
116,11,2,101114,0.133000,0.915000
117,5,10,97140,0.127800,0.917400
118,43,31,95051,0.125000,0.919800
119,40,28,94110,0.123800,0.922200
120,20,1,91007,0.119700,0.924500
121,44,2,90785,0.119400,0.926800
122,48,28,89695,0.118000,0.929100
123,26,47,89116,0.117200,0.931300
124,25,40,89019,0.117100,0.933600
125,49,27,88895,0.116900,0.935800
126,4,15,85512,0.112500,0.938000
127,22,40,82168,0.108100,0.940100
128,32,51,80109,0.105400,0.942100
129,15,37,78637,0.103400,0.944100
130,1,13,77011,0.101300,0.946000
131,31,39,76995,0.101300,0.948000
132,34,35,76633,0.100800,0.949900
133,32,49,67518,0.088800,0.951600
134,22,24,66898,0.088000,0.953300
135,34,48,66766,0.087800,0.955000
136,36,22,62890,0.082700,0.956600
137,36,19,61124,0.080400,0.958100
138,43,29,57850,0.076100,0.959600
139,12,13,57114,0.075100,0.961000
140,17,22,56980,0.074900,0.962500
141,17,40,56465,0.074300,0.963900
142,9,1,54895,0.072200,0.965300
143,43,37,54609,0.071800,0.966700
144,31,35,52961,0.069700,0.968000
145,30,49,52108,0.068500,0.969300
146,11,3,51719,0.068000,0.970700
147,6,5,43345,0.057000,0.971700
148,14,20,43249,0.056900,0.972800
149,4,17,41052,0.054000,0.973900
150,32,40,39616,0.052100,0.974900
151,41,33,39003,0.051300,0.975900
152,2,12,37143,0.048800,0.976800
153,48,26,36744,0.048300,0.977700
154,14,21,36564,0.048100,0.978700
155,42,32,36277,0.047700,0.979600
156,25,43,35619,0.046800,0.980500
157,47,25,35308,0.046400,0.981400
158,39,36,34775,0.045700,0.982300
159,23,51,34604,0.045500,0.983100
160,26,48,33156,0.043600,0.984000
161,23,40,31172,0.041000,0.984800
162,22,23,31065,0.040900,0.985500
163,7,4,30070,0.039500,0.986300
164,24,43,28527,0.037500,0.987000
165,12,8,28458,0.037400,0.987700
166,39,35,27242,0.035800,0.988400
167,15,29,25987,0.034200,0.989100
168,2,10,24960,0.032800,0.989700
169,24,42,23910,0.031400,0.990300
170,6,2,22979,0.030200,0.990900
171,22,41,22969,0.030200,0.991500
172,41,35,21945,0.028900,0.992000
173,26,51,21781,0.028600,0.992600
174,32,50,20307,0.026700,0.993100
175,34,49,19686,0.025900,0.993600
176,14,18,15588,0.020500,0.994000
177,21,40,15434,0.020300,0.994400
178,26,46,15280,0.020100,0.994800
179,33,35,14780,0.019400,0.995100
180,45,39,14361,0.018900,0.995500
181,18,23,13352,0.017600,0.995800
182,25,50,13064,0.017200,0.996200
183,10,19,12955,0.017000,0.996500
184,50,15,12824,0.016900,0.996800
185,43,32,11433,0.015000,0.997100
186,13,14,11152,0.014700,0.997400
187,34,45,10039,0.013200,0.997700
188,52,18,7513,0.009900,0.997800
189,46,26,7071,0.009300,0.998000
190,47,27,6594,0.008700,0.998200
191,37,32,6355,0.008400,0.998400
192,50,8,5837,0.007700,0.998500
193,1,10,5542,0.007300,0.998600
194,9,4,5463,0.007200,0.998800
195,14,22,5034,0.006600,0.998900
196,30,40,4819,0.006300,0.999000
197,7,9,4740,0.006200,0.999100
198,19,23,4418,0.005800,0.999300
199,22,43,4034,0.005300,0.999400
200,40,30,3936,0.005200,0.999500
201,36,17,2403,0.003200,0.999500
202,10,18,2312,0.003000,0.999600
203,49,25,2264,0.003000,0.999600
204,27,50,1859,0.002400,0.999700
205,23,50,1786,0.002300,0.999700
206,30,35,1685,0.002200,0.999800
207,38,35,1593,0.002100,0.999800
208,51,15,1501,0.002000,0.999900
209,6,14,1380,0.001800,0.999900
210,17,20,1307,0.001700,0.999900
211,10,13,960,0.001300,0.999900
212,17,37,941,0.001200,1.000000
213,45,40,702,0.000900,1.000000
214,43,25,602,0.000800,1.000000
