DISTRICT,POPULATION,DISTRICT%
"1/1",659690,0.860100
"1/6",91865,0.119800
"1/14",15787,0.020600
"2/2",555338,0.724100
"2/8",102678,0.133900
"2/14",37874,0.049400
"2/18",43425,0.056600
"2/29",15055,0.019600
"2/36",14405,0.018800
"3/3",382094,0.498200
"3/4",287542,0.374900
"3/5",56268,0.073400
"3/6",36800,0.048000
"4/3",143850,0.187600
"4/4",261167,0.340500
"4/19",3203,0.004200
"4/26",358727,0.467700
"5/5",421680,0.549800
"5/6",34174,0.044600
"5/25",16609,0.021700
"5/30",295466,0.385200
"6/1",77160,0.100600
"6/4",4046,0.005300
"6/6",534908,0.697400
"6/25",152744,0.199100
"7/7",485724,0.633300
"7/9",195811,0.255300
"7/22",65886,0.085900
"7/38",17741,0.023100
"8/2",7848,0.010200
"8/8",420998,0.548900
"8/18",337799,0.440400
"9/9",158541,0.206700
"9/22",256691,0.334700
"9/27",9987,0.013000
"9/36",340793,0.444300
"10/6",66538,0.086800
"10/8",227459,0.296600
"10/10",335921,0.438000
"10/14",7242,0.009400
"10/27",123108,0.160500
"10/38",6344,0.008300
"11/11",515260,0.671800
"11/13",114196,0.148900
"11/16",32694,0.042600
"11/19",106402,0.138700
"12/10",2571,0.003400
"12/12",539571,0.703500
"12/19",17210,0.022400
"12/24",36601,0.047700
"12/25",171899,0.224100
"13/13",654588,0.853500
"13/19",110642,0.144300
"14/1",28622,0.037300
"14/6",1814,0.002400
"14/8",15833,0.020600
"14/14",708058,0.923200
"14/36",11752,0.015300
"15/15",440429,0.574200
"15/23",293674,0.382900
"15/34",33177,0.043300
"16/11",29799,0.038900
"16/16",736537,0.960300
"17/10",255702,0.333400
"17/17",481138,0.627300
"17/31",29709,0.038700
"18/2",16129,0.021000
"18/7",32909,0.042900
"18/9",220720,0.287800
"18/18",242626,0.316300
"18/38",256461,0.334400
"19/10",2931,0.003800
"19/11",108104,0.140900
"19/17",131658,0.171700
"19/19",472260,0.615700
"19/25",51068,0.066600
"20/20",650095,0.847600
"20/21",60793,0.079300
"20/28",54714,0.071300
"21/11",59877,0.078100
"21/17",93851,0.122400
"21/20",45721,0.059600
"21/21",533190,0.695200
"21/23",11903,0.015500
"21/35",20758,0.027100
"22/7",222817,0.290500
"22/22",445956,0.581400
"22/27",95392,0.124400
"23/11",53296,0.069500
"23/20",50634,0.066000
"23/21",27435,0.035800
"23/23",433932,0.565800
"23/28",200774,0.261800
"24/4",211710,0.276000
"24/12",93175,0.121500
"24/19",57911,0.075500
"24/24",352937,0.460200
"24/26",53857,0.070200
"25/6",769,0.001000
"25/10",71653,0.093400
"25/12",132397,0.172600
"25/24",61922,0.080700
"25/25",223964,0.292000
"25/33",271312,0.353700
"26/3",207034,0.269900
"26/26",351928,0.458800
"26/32",208342,0.271600
"27/23",30408,0.039600
"27/27",425355,0.554600
"27/28",17183,0.022400
"27/34",292854,0.381800
"28/20",20347,0.026500
"28/21",143764,0.187400
"28/28",437937,0.571000
"28/35",165076,0.215200
"29/2",187267,0.244200
"29/9",193636,0.252500
"29/29",388165,0.506100
"30/10",1889,0.002500
"30/25",149572,0.195000
"30/30",453142,0.590800
"30/32",18508,0.024100
"30/33",147516,0.192300
"31/17",60465,0.078800
"31/31",517908,0.675300
"31/35",183055,0.238700
"31/37",5610,0.007300
"32/3",32998,0.043000
"32/5",287485,0.374800
"32/30",15867,0.020700
"32/32",429497,0.560000
"33/24",314826,0.410500
"33/32",107892,0.140700
"33/33",346247,0.451400
"34/15",329423,0.429500
"34/34",441360,0.575400
"35/10",19595,0.025500
"35/17",2815,0.003700
"35/28",54732,0.071400
"35/35",379455,0.494700
"35/37",312772,0.407800
"36/29",363430,0.473800
"36/36",402334,0.524600
"37/10",77343,0.100800
"37/27",2814,0.003700
"37/31",220841,0.287900
"37/35",19120,0.024900
"37/37",447469,0.583400
"38/7",24711,0.032200
"38/18",142339,0.185600
"38/27",112768,0.147000
"38/38",487936,0.636200
