REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,9,16,657761,0.860000,0.050600
2,13,5,645827,0.844400,0.100300
3,8,6,570447,0.745800,0.144100
4,6,8,559713,0.731800,0.187200
5,16,7,554741,0.725300,0.229800
6,11,3,543659,0.710800,0.271600
7,3,17,526099,0.687800,0.312100
8,14,1,505354,0.660700,0.351000
9,15,11,414997,0.542600,0.382900
10,4,10,414699,0.542200,0.414800
11,12,2,400974,0.524200,0.445600
12,1,15,362931,0.474500,0.473500
13,7,13,361644,0.472800,0.501300
14,5,14,332054,0.434100,0.526900
15,5,12,330324,0.431900,0.552300
16,17,4,309782,0.405000,0.576100
17,15,10,309564,0.404700,0.599900
18,2,12,302925,0.396100,0.623200
19,4,13,288381,0.377000,0.645400
20,10,9,287676,0.376100,0.667500
21,2,14,264032,0.345200,0.687800
22,7,15,247440,0.323500,0.706900
23,17,1,246786,0.322700,0.725800
24,1,9,245386,0.320800,0.744700
25,10,11,231462,0.302600,0.762500
26,14,2,209678,0.274100,0.778600
27,16,8,205153,0.268200,0.794400
28,17,7,194152,0.253800,0.809300
29,6,9,188612,0.246600,0.823800
30,12,4,185482,0.242500,0.838100
31,10,6,179184,0.234300,0.851900
32,12,3,168357,0.220100,0.864800
33,7,14,154820,0.202400,0.876700
34,11,2,154213,0.201600,0.888600
35,2,17,135099,0.176600,0.899000
36,3,12,131615,0.172100,0.909100
37,1,13,114839,0.150100,0.918000
38,9,15,105935,0.138500,0.926100
39,5,17,103666,0.135500,0.934100
40,3,16,93112,0.121700,0.941200
41,8,4,91486,0.119600,0.948300
42,10,4,67656,0.088500,0.953500
43,4,11,62346,0.081500,0.958300
44,11,5,57949,0.075800,0.962700
45,8,11,56059,0.073300,0.967000
46,13,3,52848,0.069100,0.971100
47,13,4,52303,0.068400,0.975100
48,14,4,49256,0.064400,0.978900
49,2,15,48558,0.063500,0.982600
50,8,5,47227,0.061700,0.986300
51,15,9,40824,0.053400,0.989400
52,1,10,40601,0.053100,0.992500
53,6,7,15972,0.020900,0.993800
54,13,6,15233,0.019900,0.994900
55,2,16,13992,0.018300,0.996000
56,3,14,13960,0.018300,0.997100
57,17,5,13863,0.018100,0.998200
58,12,1,10785,0.014100,0.999000
59,11,4,8900,0.011600,0.999700
60,16,9,2366,0.003100,0.999900
61,16,1,1941,0.002500,1.000000
