DISTRICT,POPULATION,DISTRICT%
"1/1",675471,0.853000
"1/2",66063,0.083400
"1/3",873,0.001100
"1/4",50480,0.063700
"2/1",116079,0.146600
"2/2",666714,0.841900
"2/4",7969,0.010100
"3/3",623992,0.788000
"3/4",35649,0.045000
"3/5",130149,0.164400
"4/2",59199,0.074800
"4/3",4976,0.006300
"4/4",405560,0.512200
"4/5",324072,0.409200
"5/1",1039,0.001300
"5/3",161519,0.204000
"5/4",292149,0.368900
"5/5",337400,0.426100
