REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,2,1,383780,0.557200,0.278600
2,1,2,382955,0.556000,0.556600
3,1,1,305532,0.443600,0.778400
4,2,2,305262,0.443200,1.000000
