DISTRICT,POPULATION,DISTRICT%
"1/1",501431,0.694800
"1/4",27438,0.038000
"1/8",192418,0.266600
"2/2",450995,0.624900
"2/6",271142,0.375700
"3/2",25666,0.035600
"3/3",676409,0.937200
"3/6",16376,0.022700
"3/7",1721,0.002400
"4/3",16972,0.023500
"4/4",377388,0.522900
"4/5",274042,0.379700
"4/6",19580,0.027100
"4/7",33496,0.046400
"5/3",27592,0.038200
"5/5",448136,0.620900
"5/6",246442,0.341500
"6/1",21548,0.029900
"6/4",289093,0.400600
"6/6",138957,0.192500
"6/8",272274,0.377300
"7/1",199529,0.276500
"7/2",2311,0.003200
"7/4",30858,0.042800
"7/7",489870,0.678800
"8/2",242995,0.336700
"8/6",27020,0.037400
"8/7",196057,0.271700
"8/8",255958,0.354700
