REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
178,25,28,10645,0.014000,0.997400
179,52,10,9616,0.012600,0.997700
180,19,36,7621,0.010000,0.997900
181,52,17,7513,0.009900,0.998100
182,11,1,7070,0.009300,0.998300
183,14,21,6616,0.008700,0.998400
184,11,3,6480,0.008500,0.998600
185,6,4,5840,0.007700,0.998700
186,50,6,5837,0.007700,0.998900
187,1,8,5542,0.007300,0.999000
188,9,7,5463,0.007200,0.999200
189,7,13,4740,0.006200,0.999300
190,46,48,3283,0.004300,0.999400
191,38,51,3235,0.004300,0.999400
192,14,22,3122,0.004100,0.999500
193,33,31,3095,0.004100,0.999600
194,16,25,2764,0.003600,0.999700
195,48,47,2568,0.003400,0.999700
196,10,19,2280,0.003000,0.999800
197,22,33,1998,0.002600,0.999800
198,30,42,1685,0.002200,0.999900
199,38,42,1593,0.002100,0.999900
200,6,18,1380,0.001800,1.000000
201,43,51,970,0.001300,1.000000
202,17,23,662,0.000900,1.000000
