DISTRICT,POPULATION,DISTRICT%
"1/1",665156,0.866200
"1/2",103177,0.134400
"2/1",85930,0.111900
"2/2",612953,0.798200
"2/6",67915,0.088400
"3/1",2837,0.003700
"3/2",51184,0.066700
"3/3",609892,0.794300
"3/6",103074,0.134200
"4/1",12582,0.016400
"4/3",155624,0.202700
"4/4",290637,0.378500
"4/6",307915,0.401000
"5/4",286558,0.373200
"5/5",382272,0.497800
"5/7",100748,0.131200
"6/4",190380,0.247900
"6/6",232098,0.302300
"6/7",347568,0.452600
"7/5",144403,0.188100
"7/6",60120,0.078300
"7/7",318988,0.415400
"7/8",243253,0.316800
"8/5",239896,0.312400
"8/8",298143,0.388300
"8/9",232789,0.303200
"9/8",229525,0.298900
"9/9",535223,0.697000
