REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,5,13,634400,0.829100,0.059200
2,4,14,500412,0.654000,0.105900
3,3,11,491534,0.642400,0.151800
4,8,5,459167,0.600100,0.194700
5,12,2,450597,0.588900,0.236800
6,10,1,425945,0.556700,0.276500
7,6,8,408332,0.533700,0.314600
8,7,4,406386,0.531100,0.352600
9,9,9,388182,0.507300,0.388800
10,14,7,372817,0.487300,0.423600
11,13,8,355528,0.464700,0.456800
12,11,3,352032,0.460100,0.489700
13,14,6,351577,0.459500,0.522500
14,2,10,314312,0.410800,0.551800
15,2,6,291061,0.380400,0.579000
16,6,10,291013,0.380300,0.606200
17,1,11,273401,0.357300,0.631700
18,7,12,273093,0.356900,0.657200
19,4,12,263092,0.343800,0.681800
20,13,2,257816,0.337000,0.705800
21,1,12,230276,0.301000,0.727300
22,11,4,207240,0.270900,0.746700
23,8,1,200470,0.262000,0.765400
24,10,7,198557,0.259500,0.783900
25,9,7,176750,0.231000,0.800400
26,12,9,171015,0.223500,0.816400
27,1,5,169028,0.220900,0.832200
28,13,4,150599,0.196800,0.846200
29,12,3,144526,0.188900,0.859700
30,2,9,140953,0.184200,0.872900
31,10,3,139996,0.183000,0.885900
32,5,14,133151,0.174000,0.898400
33,9,3,129210,0.168900,0.910400
34,3,13,127760,0.167000,0.922400
35,8,6,102376,0.133800,0.931900
36,11,1,94891,0.124000,0.940800
37,3,14,89582,0.117100,0.949100
38,7,5,84484,0.110400,0.957000
39,9,10,70648,0.092300,0.963600
40,6,9,65722,0.085900,0.969800
41,3,10,58120,0.076000,0.975200
42,11,2,57736,0.075500,0.980600
43,11,5,51973,0.067900,0.985400
44,14,1,43076,0.056300,0.989400
45,1,14,40516,0.053000,0.993200
46,1,10,29775,0.038900,0.996000
47,1,6,22624,0.029600,0.998100
48,2,7,18098,0.023700,0.999800
49,8,4,2059,0.002700,1.000000
