DISTRICT,POPULATION,DISTRICT%
"1/1",609466,0.801600
"1/4",150072,0.197400
"2/2",638463,0.839700
"2/4",102455,0.134700
"2/8",19346,0.025400
"3/1",159944,0.210400
"3/3",487578,0.641300
"3/4",112132,0.147500
"4/4",401714,0.528300
"4/6",22576,0.029700
"4/7",313344,0.412100
"4/8",21822,0.028700
"4/10",1462,0.001900
"5/5",564654,0.742600
"5/9",55305,0.072700
"5/13",135484,0.178200
"5/18",4987,0.006600
"5/19",445,0.000600
"6/3",271782,0.357400
"6/6",413655,0.544000
"6/7",5994,0.007900
"6/13",69463,0.091400
"7/6",322159,0.423700
"7/7",438869,0.577200
"8/2",117512,0.154500
"8/8",476712,0.627000
"8/11",28724,0.037800
"8/12",136757,0.179900
"9/6",4939,0.006500
"9/9",706355,0.929000
"9/10",4740,0.006200
"9/13",44065,0.058000
"10/8",183404,0.241200
"10/10",578091,0.760300
"11/2",5837,0.007700
"11/11",687028,0.903600
"11/15",68355,0.089900
"12/8",58291,0.076700
"12/10",18720,0.024600
"12/11",5542,0.007300
"12/12",621394,0.817200
"12/14",58746,0.077300
"12/15",0,0.000000
"12/17",0,0.000000
"12/18",0,0.000000
"13/5",193339,0.254300
"13/13",319388,0.420100
"13/18",21427,0.028200
"13/21",227308,0.299000
"14/10",157490,0.207100
"14/12",70,0.000100
"14/14",450404,0.592400
"14/19",153797,0.202300
"15/11",37765,0.049700
"15/15",681452,0.896200
"15/17",37821,0.049700
"16/16",457837,0.602100
"16/17",294653,0.387500
"16/18",44,0.000100
"16/19",6737,0.008900
"17/14",251938,0.331300
"17/15",7620,0.010000
"17/16",129706,0.170600
"17/17",334690,0.440200
"17/19",35346,0.046500
"18/17",88783,0.116800
"18/18",672386,0.884300
"19/16",170811,0.224600
"19/17",2182,0.002900
"19/18",24496,0.032200
"19/19",562183,0.739400
"20/20",636880,0.837600
"20/22",107667,0.141600
"20/23",941,0.001200
"20/24",3381,0.004400
"20/26",0,0.000000
"20/27",11160,0.014700
"21/13",201739,0.265300
"21/21",416422,0.547700
"21/22",141186,0.185700
"22/20",60418,0.079500
"22/21",129902,0.170800
"22/22",517322,0.680400
"22/24",53876,0.070900
"23/23",545119,0.716900
"23/27",702,0.000900
"23/33",215124,0.282900
"24/18",39791,0.052300
"24/24",714377,0.939500
"24/26",5545,0.007300
"25/23",78637,0.103400
"25/25",657444,0.864700
"25/51",24055,0.031600
"26/20",13517,0.017800
"26/24",0,0.000000
"26/26",706140,0.928700
"26/32",39500,0.051900
"27/20",34417,0.045300
"27/27",632353,0.831700
"27/29",91195,0.119900
"27/34",2591,0.003400
"28/27",21225,0.027900
"28/28",529932,0.697000
"28/31",41185,0.054200
"28/34",143723,0.189000
"28/42",24773,0.032600
"29/29",609268,0.801300
"29/30",122977,0.161700
"29/32",27958,0.036800
"30/29",32735,0.043100
"30/30",422037,0.555100
"30/34",28077,0.036900
"30/37",79052,0.104000
"30/42",199233,0.262000
"31/27",50074,0.065900
"31/28",14974,0.019700
"31/31",618434,0.813400
"31/35",24195,0.031800
"31/45",47210,0.062100
"31/46",5751,0.007600
"32/20",16800,0.022100
"32/26",44576,0.058600
"32/27",31276,0.041100
"32/29",24871,0.032700
"32/32",642332,0.844800
"33/23",81528,0.107200
"33/33",424989,0.558900
"33/41",254347,0.334500
"34/27",5032,0.006600
"34/34",583563,0.767500
"34/42",170784,0.224600
"35/23",1208,0.001600
"35/27",10003,0.013200
"35/31",93229,0.122600
"35/33",25994,0.034200
"35/35",627621,0.825400
"35/39",1685,0.002200
"36/30",212431,0.279400
"36/32",46659,0.061400
"36/36",501874,0.660100
"36/43",0,0.000000
"37/36",203717,0.267900
"37/37",549834,0.723100
"37/42",3434,0.004500
"37/43",3669,0.004800
"38/28",211221,0.277800
"38/31",4207,0.005500
"38/38",308870,0.406200
"38/42",48641,0.064000
"38/44",77250,0.101600
"38/45",109548,0.144100
"39/33",90512,0.119000
"39/35",115955,0.152500
"39/39",458367,0.602800
"39/41",96267,0.126600
"40/39",180786,0.237800
"40/40",541859,0.712600
"40/46",37126,0.048800
"40/47",0,0.000000
"41/23",54609,0.071800
"41/25",113206,0.148900
"41/41",400917,0.527300
"41/48",191521,0.251900
"41/51",59,0.000100
"42/37",122149,0.160600
"42/38",324207,0.426400
"42/42",310508,0.408400
"42/43",3203,0.004200
"43/36",52587,0.069200
"43/37",4951,0.006500
"43/43",698494,0.918600
"43/44",3875,0.005100
"44/38",121829,0.160200
"44/43",54241,0.071300
"44/44",584338,0.768500
"45/44",90173,0.118600
"45/45",372765,0.490300
"45/47",297701,0.391500
"46/39",9,0.000000
"46/45",228394,0.300400
"46/46",519971,0.683900
"46/47",12245,0.016100
"47/40",115789,0.152300
"47/46",194674,0.256000
"47/47",450882,0.593000
"48/39",115754,0.152200
"48/40",102719,0.135100
"48/41",4467,0.005900
"48/48",454811,0.598200
"48/49",82461,0.108500
"49/48",111153,0.146200
"49/49",533620,0.701800
"49/51",115353,0.151700
"50/49",142723,0.187700
"50/50",425840,0.560100
"50/51",190775,0.250900
"51/50",252843,0.332500
"51/51",426945,0.561500
"51/52",80453,0.105800
"52/48",0,0.000000
"52/49",0,0.000000
"52/50",79582,0.104700
"52/51",779,0.001000
"52/52",680313,0.894700
