DISTRICT,POPULATION,DISTRICT%
"1/1",436155,0.573600
"1/3",321353,0.422600
"1/4",7070,0.009300
"2/1",269651,0.354600
"2/2",372738,0.490200
"2/8",117512,0.154500
"2/11",5837,0.007700
"3/3",438301,0.576400
"3/6",295498,0.388600
"3/13",663,0.000900
"3/20",1307,0.001700
"3/21",26097,0.034300
"3/22",2764,0.003600
"4/1",53732,0.070700
"4/2",386853,0.508800
"4/4",301915,0.397100
"4/8",21419,0.028200
"4/10",1218,0.001600
"5/5",418653,0.550600
"5/6",169149,0.222500
"5/9",2444,0.003200
"5/13",118681,0.156100
"5/21",56083,0.073800
"6/4",140990,0.185400
"6/6",285153,0.375000
"6/7",330587,0.434800
"7/4",285541,0.375500
"7/6",11094,0.014600
"7/7",430441,0.566100
"7/9",30070,0.039500
"7/10",974,0.001300
"8/2",673,0.000900
"8/4",25402,0.033400
"8/8",444360,0.584400
"8/10",287607,0.378300
"8/12",7,0.000000
"9/5",57591,0.075700
"9/9",691562,0.909500
"9/10",12876,0.016900
"10/8",10933,0.014400
"10/10",458820,0.603400
"10/12",77004,0.101300
"10/14",213509,0.280800
"11/8",28724,0.037800
"11/11",692565,0.910900
"11/12",5542,0.007300
"11/15",32361,0.042600
"12/8",136757,0.179900
"12/12",621791,0.817800
"13/5",279079,0.367000
"13/9",36023,0.047400
"13/13",437272,0.575100
"13/21",15698,0.020600
"14/12",58349,0.076700
"14/14",548252,0.721100
"14/17",152815,0.201000
"15/11",62818,0.082600
"15/12",0,0.000000
"15/15",646855,0.850700
"15/17",49385,0.065000
"16/12",0,0.000000
"16/15",77822,0.102400
"16/16",307872,0.404900
"16/17",255336,0.335800
"16/19",117793,0.154900
"17/5",37,0.000000
"17/12",0,0.000000
"17/16",293550,0.386100
"17/17",301764,0.396900
"17/19",163586,0.215100
"18/5",5508,0.007200
"18/13",18305,0.024100
"18/16",26061,0.034300
"18/18",489338,0.643600
"18/19",224191,0.294900
"19/5",7,0.000000
"19/12",0,0.000000
"19/13",3122,0.004100
"19/16",131788,0.173300
"19/18",271831,0.357500
"19/19",254102,0.334200
"19/24",97695,0.128500
"20/20",303830,0.399600
"20/21",215621,0.283600
"20/22",223608,0.294100
"20/24",17823,0.023400
"20/27",2332,0.003100
"21/13",176803,0.232500
"21/21",445848,0.586400
"21/22",133677,0.175800
"22/13",6616,0.008700
"22/20",374146,0.492100
"22/22",401469,0.528000
"22/24",16,0.000000
"23/20",18156,0.023900
"23/23",528302,0.694800
"23/25",71658,0.094200
"23/27",18094,0.023800
"23/33",72582,0.095500
"23/41",54609,0.071800
"24/24",644168,0.847200
"24/26",120561,0.158600
"25/25",495083,0.651100
"25/41",274277,0.360700
"26/20",6125,0.008100
"26/24",11,0.000000
"26/26",630438,0.829100
"26/32",122144,0.160600
"27/20",56465,0.074300
"27/27",582948,0.766700
"27/29",12007,0.015800
"27/31",0,0.000000
"27/32",108807,0.143100
"28/23",5514,0.007300
"28/27",3548,0.004700
"28/28",339863,0.447000
"28/31",11010,0.014500
"28/34",292198,0.384300
"28/35",105758,0.139100
"29/27",95556,0.125700
"29/29",603601,0.793800
"29/30",13453,0.017700
"29/32",44841,0.059000
"30/27",58078,0.076400
"30/29",23650,0.031100
"30/30",451843,0.594300
"30/34",161911,0.212900
"30/36",62635,0.082400
"31/28",334686,0.440200
"31/31",421402,0.554200
"31/34",0,0.000000
"31/35",1174,0.001500
"32/26",8158,0.010700
"32/29",120945,0.159100
"32/30",10265,0.013500
"32/32",484063,0.636600
"32/36",134891,0.177400
"33/23",227129,0.298700
"33/33",393306,0.517300
"33/35",129276,0.170000
"33/39",7507,0.009900
"34/30",274200,0.360600
"34/34",304302,0.400200
"34/37",26992,0.035500
"34/38",14874,0.019600
"34/42",137326,0.180600
"35/31",88830,0.116800
"35/33",40629,0.053400
"35/35",489181,0.643400
"35/39",143699,0.189000
"36/36",429872,0.565400
"36/37",4911,0.006500
"36/43",323441,0.425400
"37/30",11373,0.015000
"37/36",132906,0.174800
"37/37",476420,0.626600
"37/42",134618,0.177000
"38/28",86289,0.113500
"38/31",191373,0.251700
"38/34",968,0.001300
"38/38",440217,0.579000
"38/45",25290,0.033300
"38/46",13586,0.017900
"39/33",253670,0.333600
"39/39",320815,0.421900
"39/41",181926,0.239300
"39/48",100,0.000100
"40/31",29619,0.039000
"40/35",34351,0.045200
"40/39",15738,0.020700
"40/40",320601,0.421600
"40/46",277609,0.365100
"40/47",26283,0.034600
"40/48",54843,0.072100
"41/25",160063,0.210500
"41/33",677,0.000900
"41/39",273342,0.359500
"41/41",217075,0.285500
"41/48",110630,0.145500
"42/38",216195,0.284300
"42/42",226490,0.297900
