REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,1,768501,0.990100,0.247500
2,2,2,462976,0.596500,0.396700
3,3,3,416709,0.536900,0.530900
4,4,3,342046,0.440700,0.641100
5,3,4,334168,0.430500,0.748700
6,2,4,293745,0.378500,0.843300
7,4,2,279766,0.360500,0.933400
8,4,4,154386,0.198900,0.983100
9,3,2,26545,0.034200,0.991700
10,2,1,13833,0.017800,0.996200
11,2,3,6557,0.008400,0.998300
12,1,4,5382,0.006900,1.000000
