REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,6,746211,0.955300,0.106100
2,8,2,651103,0.833600,0.198800
3,5,9,551521,0.706100,0.277200
4,3,3,517784,0.662900,0.350900
5,2,4,493247,0.631500,0.421000
6,4,1,491514,0.629300,0.491000
7,9,7,393115,0.503300,0.546900
8,6,5,390351,0.499700,0.602400
9,7,5,365840,0.468400,0.654400
10,6,1,290331,0.371700,0.695700
11,7,8,238241,0.305000,0.729600
12,2,8,235107,0.301000,0.763100
13,5,7,225535,0.288700,0.795200
14,9,8,212156,0.271600,0.825300
15,9,9,173938,0.222700,0.850100
16,3,4,168657,0.215900,0.874100
17,4,3,140903,0.180400,0.894100
18,7,2,129084,0.165300,0.912500
19,4,4,117059,0.149900,0.929100
20,6,3,98470,0.126100,0.943100
21,3,8,94035,0.120400,0.956500
22,8,7,75392,0.096500,0.967200
23,2,9,52697,0.067500,0.974700
24,1,7,36936,0.047300,0.980000
25,8,6,35709,0.045700,0.985100
26,4,7,27984,0.035800,0.989000
27,7,3,25636,0.032800,0.992700
28,7,7,23343,0.029900,0.996000
29,8,5,19751,0.025300,0.998800
30,5,8,4436,0.005700,0.999500
31,4,5,3831,0.004900,1.000000
32,2,7,0,0.000000,1.000000
