REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,2,2,446944,0.633200,0.211100
2,3,1,412616,0.584600,0.405900
3,3,3,292788,0.414800,0.544200
4,1,2,258022,0.365600,0.666000
5,1,1,245223,0.347400,0.781900
6,2,3,210123,0.297700,0.881100
7,1,3,202933,0.287500,0.976900
8,2,1,47993,0.068000,0.999600
9,3,2,880,0.001200,1.000000
