DISTRICT,POPULATION,DISTRICT%
"1/1",653526,0.859500
"1/3",21093,0.027700
"1/4",53732,0.070700
"1/10",31187,0.041000
"2/1",2268,0.003000
"2/2",523689,0.688700
"2/4",234307,0.308200
"3/1",105049,0.138200
"3/3",636643,0.837300
"3/10",12499,0.016400
"3/22",5463,0.007200
"4/4",165233,0.217300
"4/6",140990,0.185400
"4/7",226283,0.297600
"4/10",228412,0.300400
"5/5",594059,0.781300
"5/9",56388,0.074200
"5/13",92711,0.121900
"5/16",3272,0.004300
"5/22",14445,0.019000
"6/3",109676,0.144200
"6/5",167886,0.220800
"6/6",376884,0.495700
"6/7",23562,0.031000
"6/10",20325,0.026700
"6/22",62561,0.082300
"7/6",243747,0.320600
"7/7",507504,0.667500
"7/10",9777,0.012900
"8/2",120259,0.158200
"8/4",185047,0.243400
"8/8",291665,0.383600
"8/11",25977,0.034200
"8/12",136757,0.179900
"9/5",2444,0.003200
"9/9",706253,0.928900
"9/10",51402,0.067600
"10/4",125500,0.165100
"10/8",317166,0.417100
"10/10",318829,0.419300
"11/2",118235,0.155500
"11/11",630161,0.828800
"11/15",12824,0.016900
"12/8",77011,0.101300
"12/11",5542,0.007300
"12/12",621053,0.816800
"12/13",0,0.000000
"12/14",59087,0.077700
"12/15",0,0.000000
"13/13",398904,0.524600
"13/18",183004,0.240700
"13/21",172040,0.226300
"13/22",7514,0.009900
"14/8",73789,0.097000
"14/10",83701,0.110100
"14/14",440423,0.579200
"14/16",163848,0.215500
"15/11",97140,0.127800
"15/15",656532,0.863500
"15/16",3366,0.004400
"16/16",278364,0.366100
"16/17",378721,0.498100
"16/19",102186,0.134400
"17/14",261185,0.343500
"17/15",89029,0.117100
"17/16",1190,0.001600
"17/17",373669,0.491400
"17/19",34227,0.045000
"18/13",271008,0.356400
"18/16",175886,0.231300
"18/18",314275,0.413300
"19/16",132214,0.173900
"19/17",5947,0.007800
"19/19",621511,0.817400
"20/20",684351,0.900000
"20/22",2248,0.003000
"20/24",11502,0.015100
"20/26",5463,0.007200
"20/27",56465,0.074300
"21/13",6998,0.009200
"21/18",91205,0.120000
"21/21",583027,0.766800
"21/22",78117,0.102700
"22/20",73508,0.096700
"22/22",569731,0.749300
"22/24",118279,0.155600
"23/22",32012,0.042100
"23/23",465254,0.611900
"23/33",263679,0.346800
"24/18",184331,0.242400
"24/24",575382,0.756700
"25/22",690,0.000900
"25/23",43161,0.056800
"25/25",417851,0.549600
"25/48",286615,0.377000
"25/51",11819,0.015500
"26/24",69468,0.091400
"26/26",661539,0.870000
"26/32",28150,0.037000
"27/20",4418,0.005800
"27/23",166456,0.218900
"27/27",515398,0.677800
"27/29",20510,0.027000
"27/34",53774,0.070700
"28/28",263358,0.346400
"28/31",218918,0.287900
"28/34",186546,0.245300
"28/37",92016,0.121000
"29/27",97354,0.128000
"29/29",599231,0.788100
"29/32",62356,0.082000
"29/34",1262,0.001700
"30/29",93591,0.123100
"30/30",422834,0.556100
"30/34",81164,0.106700
"30/37",163545,0.215100
"31/28",248362,0.326600
"31/31",435120,0.572300
"31/35",24195,0.031800
"31/46",52961,0.069700
"32/26",92368,0.121500
"32/27",91131,0.119900
"32/32",576356,0.758000
"33/23",30396,0.040000
"33/33",470757,0.619100
"33/35",5364,0.007100
"33/39",131989,0.173600
"33/41",122358,0.160900
"34/34",435284,0.572500
"34/37",324095,0.426200
"35/23",1208,0.001600
"35/31",103232,0.135800
"35/33",13316,0.017500
"35/35",640299,0.842100
"35/46",1685,0.002200
"36/29",44353,0.058300
"36/30",229923,0.302400
"36/32",91071,0.119800
"36/36",395606,0.520300
"36/43",11,0.000000
"36/44",0,0.000000
"37/30",104482,0.137400
"37/36",361022,0.474800
"37/37",19076,0.025100
"37/42",143710,0.189000
"37/43",132364,0.174100
"38/28",245053,0.322300
"38/38",374099,0.492000
"38/42",124476,0.163700
"38/44",1329,0.001700
"38/46",14780,0.019400
"39/33",9336,0.012300
"39/35",92353,0.121500
"39/39",629648,0.828100
"39/40",3235,0.004300
"39/41",24936,0.032800
"39/46",1593,0.002100
"40/40",631821,0.831000
"40/46",86264,0.113500
"40/47",0,0.000000
"40/48",41686,0.054800
"41/23",54609,0.071800
"41/25",259690,0.341500
"41/41",438529,0.576700
"41/48",7484,0.009800
"42/37",158191,0.208100
"42/38",54953,0.072300
"42/42",487946,0.641700
"42/43",58977,0.077600
"43/43",425924,0.560200
"43/44",333983,0.439200
"44/38",263914,0.347100
"44/43",138920,0.182700
"44/44",357574,0.470300
"45/38",63668,0.083700
"45/44",66174,0.087000
"45/45",383942,0.505000
"45/46",3035,0.004000
"45/47",243820,0.320700
"46/45",298873,0.393100
"46/46",461746,0.607300
"47/40",33850,0.044500
"47/45",76057,0.100000
"47/46",136161,0.179100
"47/47",515277,0.677700
"48/25",80155,0.105400
"48/40",89796,0.118100
"48/41",170848,0.224700
"48/48",292203,0.384300
"48/49",127210,0.167300
"49/48",116146,0.152800
"49/49",626741,0.824300
"49/50",17239,0.022700
"50/49",4133,0.005400
"50/50",668614,0.879400
"50/51",3764,0.005000
"50/52",82827,0.108900
"51/48",27066,0.035600
"51/50",59885,0.078800
"51/51",673290,0.885500
"52/50",12914,0.017000
"52/51",68725,0.090400
"52/52",679035,0.893100
