DISTRICT,POPULATION,DISTRICT%
"1/1",731892,0.953100
"1/2",36441,0.047500
"2/1",36711,0.047800
"2/2",671802,0.874900
"2/4",58285,0.075900
"3/2",60392,0.078600
"3/3",663296,0.863800
"3/4",43299,0.056400
"4/3",103044,0.134200
"4/4",510852,0.665300
"4/5",152862,0.199100
"5/4",38471,0.050100
"5/5",358183,0.466500
"5/6",100748,0.131200
"5/7",272176,0.354500
"6/4",116930,0.152300
"6/5",251705,0.327800
"6/6",388728,0.506200
"6/7",12683,0.016500
"7/5",5170,0.006700
"7/6",277916,0.361900
"7/7",310303,0.404100
"7/8",173375,0.225800
"8/7",173777,0.226300
"8/8",322957,0.420600
"8/9",274094,0.357000
"9/8",272010,0.354200
"9/9",492738,0.641700
