REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,5,1,752054,0.982900,0.070200
2,3,12,738990,0.965800,0.139200
3,11,5,611460,0.799200,0.196300
4,7,3,512024,0.669200,0.244100
5,6,14,505849,0.661100,0.291300
6,14,7,445607,0.582400,0.332900
7,4,8,438795,0.573500,0.373900
8,12,11,435656,0.569400,0.414500
9,2,10,433162,0.566100,0.455000
10,9,6,415218,0.542700,0.493700
11,10,4,401172,0.524300,0.531200
12,8,13,332401,0.434400,0.562200
13,2,9,331262,0.432900,0.593100
14,1,8,321605,0.420300,0.623200
15,4,2,314998,0.411700,0.652600
16,12,6,300677,0.393000,0.680600
17,13,13,272413,0.356000,0.706100
18,9,9,259571,0.339200,0.730300
19,13,14,259286,0.338900,0.754500
20,8,4,245014,0.320200,0.777400
21,1,2,243481,0.318200,0.800100
22,10,7,234404,0.306400,0.822000
23,7,2,206658,0.270100,0.841300
24,6,11,202964,0.265300,0.860200
25,13,3,152432,0.199200,0.874500
26,1,10,121931,0.159400,0.885800
27,14,9,118050,0.154300,0.896900
28,14,4,114968,0.150300,0.907600
29,11,13,106009,0.138500,0.917500
30,8,10,101299,0.132400,0.927000
31,14,10,88845,0.116100,0.935200
32,9,7,85126,0.111300,0.943200
33,10,5,79681,0.104100,0.950600
34,13,11,79220,0.103500,0.958000
35,1,3,67954,0.088800,0.964400
36,6,9,56254,0.073500,0.969600
37,8,5,52632,0.068800,0.974500
38,10,6,49241,0.064400,0.979100
39,7,13,45281,0.059200,0.983400
40,11,11,42422,0.055400,0.987300
41,8,3,32726,0.042800,0.990400
42,12,5,20772,0.027100,0.992300
43,3,10,19898,0.026000,0.994200
44,5,12,15497,0.020300,0.995600
45,1,12,10649,0.013900,0.996600
46,4,1,9711,0.012700,0.997500
47,12,13,9033,0.011800,0.998400
48,9,11,4875,0.006400,0.998800
49,3,8,4736,0.006200,0.999300
50,11,4,3981,0.005200,0.999600
51,3,1,3372,0.004400,0.999900
52,13,5,592,0.000800,1.000000
