DISTRICT,POPULATION,DISTRICT%
"1/1",463964,0.634500
"1/6",264776,0.362100
"1/7",2463,0.003400
"2/2",531775,0.727300
"2/5",115621,0.158100
"2/6",83807,0.114600
"3/2",95806,0.131000
"3/3",541243,0.740200
"3/4",90026,0.123100
"3/5",4129,0.005600
"4/3",189489,0.259100
"4/4",541715,0.740900
"5/4",99693,0.136300
"5/5",534099,0.730400
"5/6",97412,0.133200
"6/1",267462,0.365800
"6/2",102870,0.140700
"6/5",46725,0.063900
"6/6",282142,0.385900
"6/7",32005,0.043800
"7/5",30638,0.041900
"7/6",3444,0.004700
"7/7",697121,0.953400
