REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,3,8,729780,0.948500,0.118600
2,6,2,669624,0.870400,0.227400
3,1,7,603410,0.784300,0.325400
4,4,5,571607,0.743000,0.418300
5,7,1,571469,0.742800,0.511100
6,8,3,557785,0.725000,0.601700
7,2,6,530346,0.689300,0.687900
8,5,4,509995,0.662900,0.770800
9,7,5,199523,0.259300,0.803200
10,4,6,197169,0.256300,0.835200
11,8,1,194061,0.252200,0.866700
12,5,7,168520,0.219000,0.894100
13,1,4,167540,0.217800,0.921300
14,2,3,129336,0.168100,0.942400
15,6,4,93008,0.120900,0.957500
16,5,3,72697,0.094500,0.969300
17,2,2,64309,0.083600,0.979700
18,2,8,41565,0.054000,0.986500
19,3,6,38986,0.050700,0.992800
20,5,2,19476,0.025300,0.996000
21,8,2,15558,0.020200,0.998500
22,6,3,6579,0.008600,0.999600
23,2,1,2244,0.002900,0.999900
24,4,1,326,0.000400,1.000000
