DISTRICT,POPULATION,DISTRICT%
"1/1",603410,0.784300
"1/2",167540,0.217800
"2/1",168520,0.219000
"2/2",509995,0.662900
"2/3",72697,0.094500
"2/8",19476,0.025300
"3/3",557785,0.725000
"3/6",194061,0.252200
"3/8",15558,0.020200
"4/3",129336,0.168100
"4/4",530346,0.689300
"4/6",2244,0.002900
"4/7",41565,0.054000
"4/8",64309,0.083600
"5/4",197169,0.256300
"5/5",571607,0.743000
"5/6",326,0.000400
"6/5",199523,0.259300
"6/6",571469,0.742800
"7/4",38986,0.050700
"7/7",729780,0.948500
"8/2",93008,0.120900
"8/3",6579,0.008600
"8/8",669624,0.870400
