REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,2,2,592281,0.803900,0.100500
2,7,8,480552,0.652300,0.182000
3,5,5,409579,0.556000,0.251500
4,1,4,389250,0.528400,0.317600
5,4,7,355962,0.483200,0.378000
6,8,1,321346,0.436200,0.432500
7,3,1,315024,0.427600,0.485900
8,8,6,286153,0.388400,0.534500
9,1,3,263601,0.357800,0.579200
10,6,3,209601,0.284500,0.614800
11,3,6,204393,0.277400,0.649500
12,5,7,195356,0.265200,0.682600
13,6,4,190127,0.258100,0.714900
14,7,7,182746,0.248100,0.745900
15,4,5,144607,0.196300,0.770400
16,2,3,144404,0.196000,0.794900
17,8,8,127169,0.172600,0.816500
18,3,8,121684,0.165200,0.837100
19,4,3,119940,0.162800,0.857500
20,4,4,116067,0.157500,0.877200
21,6,1,101901,0.138300,0.894500
22,6,5,99386,0.134900,0.911300
23,5,6,96351,0.130800,0.927700
24,3,5,83567,0.113400,0.941900
25,1,2,83240,0.113000,0.956000
26,6,6,76161,0.103400,0.968900
27,7,6,73476,0.099700,0.981400
28,6,2,59662,0.081000,0.991500
29,5,4,29088,0.039500,0.996400
30,3,4,12166,0.016500,0.998500
31,5,8,6526,0.008900,0.999600
32,8,7,2352,0.003200,1.000000
