REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,8,3,630208,0.873200,0.109200
2,1,1,446706,0.619000,0.186500
3,4,5,409353,0.567200,0.257400
4,5,2,394503,0.546600,0.325700
5,7,8,391710,0.542700,0.393600
6,3,6,375158,0.519800,0.458600
7,5,7,314282,0.435500,0.513000
8,3,7,272225,0.377200,0.560100
9,2,2,238455,0.330400,0.601400
10,2,4,230274,0.319100,0.641300
11,6,6,227347,0.315000,0.680700
12,6,4,220824,0.306000,0.719000
13,7,1,196460,0.272200,0.753000
14,1,4,193213,0.267700,0.786400
15,2,8,188718,0.261500,0.819100
16,6,5,161895,0.224300,0.847200
17,7,5,132087,0.183000,0.870000
18,4,8,129639,0.179600,0.892500
19,4,7,126064,0.174700,0.914300
20,8,2,91929,0.127400,0.930300
21,6,1,80987,0.112200,0.944300
22,3,4,72585,0.100600,0.956900
23,1,6,64429,0.089300,0.968000
24,2,3,59886,0.083000,0.978400
25,4,6,56422,0.078200,0.988200
26,6,3,30819,0.042700,0.993500
27,1,5,16939,0.023500,0.996400
28,5,8,7244,0.010000,0.997700
29,2,7,4697,0.006500,0.998500
30,5,4,4143,0.005700,0.999200
31,7,7,2311,0.003200,0.999600
32,3,8,2202,0.003100,1.000000
