DISTRICT,POPULATION,DISTRICT%
"1/1",627413,0.833300
"1/2",87035,0.115600
"1/3",37373,0.049600
"1/4",688,0.000900
"2/1",122597,0.162800
"2/2",497442,0.660700
"2/4",132671,0.176200
"3/3",710289,0.943400
"3/4",42930,0.057000
"4/2",168562,0.223900
"4/3",6672,0.008900
"4/4",577852,0.767500
