DISTRICT,POPULATION,DISTRICT%
"1/1",665156,0.866200
"1/2",103177,0.134400
"2/1",95560,0.124400
"2/2",612953,0.798200
"2/4",58285,0.075900
"3/1",9208,0.012000
"3/2",51184,0.066700
"3/3",609892,0.794300
"3/4",96703,0.125900
"4/3",155624,0.202700
"4/4",325573,0.424000
"4/6",285561,0.371900
"5/5",392258,0.510800
"5/6",284421,0.370400
"5/7",92899,0.121000
"6/4",226525,0.295000
"6/6",198452,0.258400
"6/7",345069,0.449400
"7/4",60120,0.078300
"7/5",134208,0.174800
"7/7",329183,0.428700
"7/8",243253,0.316800
"8/5",239896,0.312400
"8/8",286137,0.372600
"8/9",244795,0.318800
"9/8",238882,0.311100
"9/9",525866,0.684800
