REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,38,5,711665,0.927900,0.024400
2,2,15,647617,0.844400,0.046600
3,22,28,638613,0.832600,0.068500
4,26,29,598297,0.780100,0.089100
5,20,25,560503,0.730800,0.108300
6,19,4,536536,0.699500,0.126700
7,24,30,495469,0.646000,0.143700
8,35,24,495026,0.645400,0.160700
9,11,38,472119,0.615600,0.176900
10,8,9,460806,0.600800,0.192700
11,9,14,459396,0.599000,0.208500
12,4,1,441360,0.575400,0.223600
13,13,2,437529,0.570500,0.238600
14,28,35,427963,0.558000,0.253300
15,16,7,416400,0.542900,0.267600
16,23,36,404854,0.527900,0.281500
17,15,13,399820,0.521300,0.295200
18,10,12,395586,0.515800,0.308800
19,29,31,384856,0.501800,0.322000
20,5,8,366812,0.478300,0.334600
21,1,3,363713,0.474200,0.347000
22,31,17,352145,0.459100,0.359100
23,25,31,352111,0.459100,0.371200
24,6,27,351715,0.458600,0.383300
25,5,6,349837,0.456100,0.395300
26,30,26,341063,0.444700,0.407000
27,14,11,338588,0.441500,0.418600
28,6,22,335259,0.437100,0.430100
29,17,17,332102,0.433000,0.441500
30,23,37,330158,0.430500,0.452800
31,4,2,329423,0.429500,0.464100
32,18,8,322507,0.420500,0.475200
33,34,19,312407,0.407300,0.485900
34,3,14,304347,0.396800,0.496400
35,13,3,299974,0.391100,0.506700
36,37,20,299600,0.390600,0.516900
37,1,1,296336,0.386400,0.527100
38,30,23,295347,0.385100,0.537200
39,12,38,292061,0.380800,0.547300
40,3,16,281961,0.367600,0.556900
41,36,23,280187,0.365300,0.566500
42,33,20,275350,0.359000,0.576000
43,16,6,275252,0.358900,0.585400
44,8,10,273729,0.356900,0.594800
45,7,11,271076,0.353400,0.604100
46,12,33,268278,0.349800,0.613300
47,32,26,263733,0.343900,0.622400
48,21,33,255104,0.332600,0.631100
49,21,30,246065,0.320800,0.639600
50,11,27,243689,0.317700,0.647900
51,31,18,239661,0.312500,0.656200
52,29,32,224081,0.292200,0.663800
53,21,34,214454,0.279600,0.671200
54,17,22,213284,0.278100,0.678500
55,27,36,210250,0.274100,0.685700
56,33,18,207034,0.269900,0.692800
57,27,35,204610,0.266800,0.699900
58,32,22,200244,0.261100,0.706700
59,25,32,193456,0.252200,0.713400
60,10,13,191827,0.250100,0.719900
61,35,23,190922,0.248900,0.726500
62,7,37,188027,0.245200,0.732900
63,14,12,185763,0.242200,0.739300
64,24,33,180826,0.235800,0.745500
65,34,18,176885,0.230600,0.751600
66,15,12,173818,0.226600,0.757600
67,18,10,172706,0.225200,0.763500
68,37,16,170790,0.222700,0.769300
69,28,34,166670,0.217300,0.775100
70,32,21,166518,0.217100,0.780800
71,7,10,165467,0.215700,0.786500
72,34,20,161973,0.211200,0.792000
73,18,7,160881,0.209800,0.797500
74,33,19,160451,0.209200,0.803000
75,17,21,159045,0.207400,0.808500
76,37,19,147991,0.193000,0.813600
77,37,18,143850,0.187600,0.818500
78,36,24,140316,0.182900,0.823300
79,14,10,139989,0.182500,0.828100
80,36,25,136802,0.178400,0.832800
81,20,16,133902,0.174600,0.837400
82,26,32,133434,0.174000,0.842000
83,9,4,133359,0.173900,0.846600
84,32,24,132447,0.172700,0.851100
85,27,34,131756,0.171800,0.855600
86,15,9,128817,0.168000,0.860100
87,19,6,125639,0.163800,0.864400
88,36,21,124979,0.162900,0.868700
89,33,21,124469,0.162300,0.872900
90,25,28,120260,0.156800,0.877000
91,9,15,119792,0.156200,0.881200
92,2,16,114728,0.149600,0.885100
93,18,9,111030,0.144800,0.888900
94,3,13,110356,0.143900,0.892700
95,12,34,109985,0.143400,0.896500
96,28,37,109932,0.143300,0.900200
97,1,7,105672,0.137800,0.903900
98,19,3,103896,0.135500,0.907400
99,25,36,101927,0.132900,0.910900
100,27,32,97440,0.127000,0.914300
101,10,11,96063,0.125200,0.917600
102,31,19,89752,0.117000,0.920600
103,29,34,86463,0.112700,0.923600
104,12,35,85754,0.111800,0.926600
105,7,32,82184,0.107200,0.929400
106,27,37,80184,0.104500,0.932100
107,34,17,80011,0.104300,0.934900
108,10,27,79167,0.103200,0.937600
109,35,21,79162,0.103200,0.940300
110,22,29,76131,0.099300,0.942900
111,20,26,73447,0.095800,0.945400
112,30,25,70240,0.091600,0.947800
113,14,13,65387,0.085300,0.950100
114,3,26,64128,0.083600,0.952300
115,29,29,60604,0.079000,0.954400
116,24,34,58231,0.075900,0.956400
117,36,16,57911,0.075500,0.958300
118,17,19,56429,0.073600,0.960300
119,9,5,56005,0.073000,0.962200
120,38,4,54671,0.071300,0.964100
121,15,11,51593,0.067300,0.965900
122,16,8,51453,0.067100,0.967600
123,28,36,49805,0.064900,0.969300
124,6,21,48179,0.062800,0.971000
125,27,33,44605,0.058200,0.972500
126,30,27,43763,0.057100,0.974000
127,11,37,41175,0.053700,0.975400
128,31,27,38936,0.050800,0.976800
129,21,35,36759,0.047900,0.978000
130,7,7,36117,0.047100,0.979300
131,14,9,35046,0.045700,0.980500
132,34,21,34571,0.045100,0.981600
133,24,29,31238,0.040700,0.982700
134,13,1,29777,0.038800,0.983700
135,36,20,29395,0.038300,0.984800
136,5,9,28942,0.037700,0.985700
137,22,7,26384,0.034400,0.986700
138,8,8,25985,0.033900,0.987500
139,31,21,25466,0.033200,0.988400
140,26,30,25107,0.032700,0.989300
141,16,4,22497,0.029300,0.990000
142,7,31,21949,0.028600,0.990800
143,23,32,20064,0.026200,0.991500
144,5,4,19587,0.025500,0.992200
145,21,32,16686,0.021800,0.992700
146,22,10,15575,0.020300,0.993300
147,28,33,14405,0.018800,0.993800
148,6,26,13830,0.018000,0.994200
149,15,6,12990,0.016900,0.994700
