DISTRICT,POPULATION,DISTRICT%
"1/1",441880,0.572300
"1/2",125659,0.162700
"1/7",205001,0.265500
"2/1",235837,0.305400
"2/2",338176,0.438000
"2/6",83738,0.108400
"2/7",112743,0.146000
"3/2",227775,0.295000
"3/3",310449,0.402100
"3/4",36058,0.046700
"3/5",43979,0.057000
"3/6",155720,0.201700
"4/3",258447,0.334700
"4/4",514688,0.666600
"5/1",62598,0.081100
"5/4",221690,0.287100
"5/5",485949,0.629300
"6/1",33873,0.043900
"6/6",527452,0.683100
"6/8",207235,0.268400
"7/1",0,0.000000
"7/2",85992,0.111400
"7/5",240406,0.311300
"7/7",447106,0.579000
"8/3",200550,0.259700
"8/6",11068,0.014300
"8/8",563155,0.729300
