DISTRICT,POPULATION,DISTRICT%
"1/1",506464,0.710000
"1/6",206847,0.290000
"2/1",204467,0.286600
"2/2",294244,0.412500
"2/4",167862,0.235300
"2/5",23600,0.033100
"2/6",23139,0.032400
"3/2",277023,0.388400
"3/3",425625,0.596700
"3/5",3343,0.004700
"3/6",5297,0.007400
"3/8",2023,0.002800
"4/1",685,0.001000
"4/4",547489,0.767500
"4/5",141204,0.198000
"4/8",23934,0.033600
"5/2",68751,0.096400
"5/3",105842,0.148400
"5/5",538719,0.755200
"6/2",72956,0.102300
"6/3",182192,0.255400
"6/5",6357,0.008900
"6/6",222495,0.311900
"6/7",35606,0.049900
"6/8",193706,0.271600
"7/6",255234,0.357800
"7/7",457535,0.641400
"7/8",543,0.000800
"8/7",221436,0.310400
"8/8",491876,0.689600
