DISTRICT,POPULATION,DISTRICT%
"1/1",646630,0.850400
"1/3",112908,0.148500
"2/1",16699,0.022000
"2/2",639588,0.841200
"2/4",103977,0.136700
"3/1",89377,0.117500
"3/3",641304,0.843400
"3/6",23510,0.030900
"3/9",5463,0.007200
"4/1",7070,0.009300
"4/4",413010,0.543200
"4/6",6480,0.008500
"4/7",334358,0.439700
"5/5",424045,0.557700
"5/9",68666,0.090300
"5/13",265884,0.349700
"5/18",2280,0.003000
"6/3",11462,0.015100
"6/6",513145,0.674900
"6/7",5840,0.007700
"6/9",229067,0.301300
"6/13",1380,0.001800
"7/4",153504,0.201900
"7/6",190615,0.250700
"7/7",416909,0.548300
"8/2",117512,0.154500
"8/4",26736,0.035200
"8/8",449976,0.591800
"8/11",28724,0.037800
"8/12",136757,0.179900
"9/5",265646,0.349400
"9/6",30070,0.039500
"9/9",459643,0.604500
"9/10",4740,0.006200
"10/4",69062,0.090800
"10/8",296418,0.389800
"10/10",396015,0.520800
"11/2",5837,0.007700
"11/11",692099,0.910200
"11/15",51666,0.068000
"11/16",11618,0.015300
"12/8",12652,0.016600
"12/10",64359,0.084600
"12/11",5542,0.007300
"12/12",594537,0.781900
"12/14",85603,0.112600
"12/15",0,0.000000
"12/16",0,0.000000
"13/13",480725,0.632200
"13/18",165543,0.217700
"13/20",3122,0.004100
"13/21",105456,0.138700
"13/22",6616,0.008700
"14/5",24287,0.031900
"14/10",296941,0.390500
"14/12",27394,0.036000
"14/14",413139,0.543400
"15/11",32361,0.042600
"15/15",624521,0.821400
"15/16",100156,0.131700
"16/16",256835,0.337800
"16/17",383962,0.505000
"16/19",118474,0.155800
"17/14",261185,0.343500
"17/15",82183,0.108100
"17/16",14347,0.018900
"17/17",367358,0.483100
"17/19",34227,0.045000
"18/5",38562,0.050700
"18/16",239948,0.315600
"18/18",482659,0.634800
"19/5",7513,0.009900
"19/16",136335,0.179300
"19/17",9616,0.012600
"19/19",606208,0.797300
"20/20",372184,0.489500
"20/22",151501,0.199300
"20/24",662,0.000900
"20/26",59886,0.078800
"20/27",175796,0.231200
"21/13",19303,0.025400
"21/18",116965,0.153800
"21/21",592166,0.778800
"21/22",15968,0.021000
"21/27",14945,0.019700
"22/20",90912,0.119600
"22/21",60339,0.079400
"22/22",607503,0.799000
"22/27",2764,0.003600
"23/23",394870,0.519300
"23/27",146065,0.192100
"23/33",220010,0.289400
"24/20",297141,0.390800
"24/24",462572,0.608400
"25/23",27850,0.036600
"25/25",415212,0.546100
"25/27",50787,0.066800
"25/41",54437,0.071600
"25/51",211850,0.278600
"26/24",298118,0.392100
"26/26",267713,0.352100
"26/36",193326,0.254300
"27/26",226488,0.297900
"27/27",377425,0.496400
"27/29",149022,0.196000
"27/34",7621,0.010000
"28/28",164124,0.215900
"28/31",344955,0.453700
"28/34",251759,0.331100
"29/29",419859,0.552200
"29/32",284297,0.373900
"29/36",56047,0.073700
"30/29",143208,0.188300
"30/30",517932,0.681200
"30/34",23891,0.031400
"30/36",76103,0.100100
"31/26",44002,0.057900
"31/31",412439,0.542400
"31/35",251236,0.330400
"31/46",52961,0.069700
"32/26",148519,0.195300
"32/29",1998,0.002600
"32/32",473996,0.623400
"32/36",135342,0.178000
"33/23",102545,0.134900
"33/33",381081,0.501200
"33/39",240145,0.315800
"33/41",37093,0.048800
"34/28",228988,0.301200
"34/29",42833,0.056300
"34/30",10645,0.014000
"34/34",476913,0.627200
"35/23",179649,0.236300
"35/26",12518,0.016500
"35/33",64918,0.085400
"35/35",500970,0.658900
"35/46",1685,0.002200
"36/30",130891,0.172100
"36/36",297463,0.391200
"36/37",36611,0.048200
"36/43",295999,0.389300
"37/30",63961,0.084100
"37/37",477297,0.627700
"37/42",201624,0.265200
"37/43",17772,0.023400
"38/28",237672,0.312600
"38/38",504190,0.663100
"38/44",3095,0.004100
"38/46",14780,0.019400
"39/33",90512,0.119000
"39/35",11177,0.014700
"39/39",342597,0.450600
"39/41",311987,0.410300
"39/46",1593,0.002100
"39/48",3235,0.004300
"40/40",477138,0.627500
"40/45",0,0.000000
"40/46",152807,0.201000
"40/48",129826,0.170700
"41/23",54609,0.071800
"41/25",242230,0.318600
"41/39",172230,0.226500
"41/41",290273,0.381800
"41/48",970,0.001300
"42/28",127646,0.167900
"42/30",35437,0.046600
"42/37",31794,0.041800
"42/38",22791,0.030000
"42/42",542399,0.713400
"43/37",144966,0.190700
"43/43",443923,0.583800
"43/44",171018,0.224900
"44/37",63927,0.084100
"44/38",180680,0.237600
"44/42",11787,0.015500
"44/44",504014,0.662900
"45/38",49301,0.064800
"45/44",80541,0.105900
"45/45",393455,0.517500
"45/46",42688,0.056100
"45/47",194654,0.256000
"46/46",482366,0.634400
"46/47",278253,0.366000
"47/40",99961,0.131500
"47/45",366274,0.481700
"47/46",10686,0.014100
"47/47",284424,0.374100
"48/25",103861,0.136600
"48/40",182330,0.239800
"48/41",66654,0.087700
"48/48",307660,0.404600
"48/49",99707,0.131100
"49/48",316024,0.415600
"49/49",366724,0.482300
"49/51",77378,0.101800
"50/49",287439,0.378000
"50/50",373767,0.491600
"50/51",3283,0.004300
"50/52",94849,0.124700
"51/49",2568,0.003400
"51/50",301625,0.396700
"51/51",456048,0.599800
"52/48",0,0.000000
"52/49",0,0.000000
"52/50",81436,0.107100
"52/51",14443,0.019000
"52/52",664795,0.874300
