REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,2,278451,0.513600,0.256800
2,2,1,275393,0.508000,0.510800
3,1,1,265551,0.489800,0.755700
4,2,2,264830,0.488500,1.000000
