REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,5,8,580071,0.769400,0.085500
2,8,1,550943,0.730700,0.166700
3,1,2,550446,0.730100,0.247800
4,4,9,547552,0.726200,0.328500
5,9,5,542498,0.719500,0.408400
6,6,3,419561,0.556500,0.470300
7,7,6,400667,0.531400,0.529300
8,6,4,332917,0.441600,0.578400
9,7,7,330232,0.438000,0.627100
10,3,4,223976,0.297100,0.660100
11,3,6,211776,0.280900,0.691300
12,2,9,204563,0.271300,0.721400
13,8,2,203323,0.269700,0.751400
14,2,4,197518,0.262000,0.780500
15,2,3,176610,0.234200,0.806500
16,5,7,174311,0.231200,0.832200
17,2,5,172813,0.229200,0.857700
18,4,7,159774,0.211900,0.881200
19,9,6,140333,0.186100,0.901900
20,1,3,134299,0.178100,0.921700
21,3,1,131349,0.174200,0.941100
22,3,8,128095,0.169900,0.959900
23,9,7,71072,0.094300,0.970400
24,1,1,68657,0.091100,0.980500
25,4,8,45381,0.060200,0.987200
26,3,3,22753,0.030200,0.990600
27,7,5,20638,0.027400,0.993600
28,3,7,18667,0.024800,0.996400
29,3,5,17579,0.023300,0.998900
30,2,1,2502,0.003300,0.999300
31,7,9,2061,0.002700,0.999600
32,4,6,1765,0.002300,0.999900
33,6,1,826,0.001100,1.000000
