REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,9,11,723641,0.946100,0.055700
2,3,12,655546,0.857100,0.106100
3,14,2,644203,0.842200,0.155600
4,5,13,636069,0.831600,0.204500
5,7,17,600540,0.785200,0.250700
6,2,14,561646,0.734300,0.293900
7,10,9,530415,0.693500,0.334700
8,12,4,513899,0.671900,0.374200
9,11,5,472208,0.617400,0.410500
10,8,6,444766,0.581500,0.444700
11,4,15,393701,0.514700,0.475000
12,6,10,386003,0.504700,0.504700
13,16,10,378719,0.495100,0.533800
14,17,3,374642,0.489800,0.562700
15,4,8,371175,0.485300,0.591200
16,15,7,353321,0.461900,0.618400
17,6,16,344208,0.450000,0.644800
18,15,15,338749,0.442900,0.670900
19,17,1,338375,0.442400,0.696900
20,1,8,333511,0.436000,0.722600
21,13,6,320251,0.418700,0.747200
22,16,1,307864,0.402500,0.770900
23,13,5,292341,0.382200,0.793400
24,1,16,273973,0.358200,0.814400
25,11,4,252866,0.330600,0.833900
26,10,7,231462,0.302600,0.851700
27,8,7,177694,0.232300,0.865300
28,13,3,153619,0.200800,0.877200
29,12,3,130073,0.170100,0.887200
30,5,14,127173,0.166300,0.896900
31,12,2,121626,0.159000,0.906300
32,1,17,117202,0.153200,0.915300
33,14,1,116569,0.152400,0.924300
34,7,16,112071,0.146500,0.932900
35,2,13,90551,0.118400,0.939900
36,8,9,77629,0.101500,0.945800
37,3,14,68669,0.089800,0.951100
38,2,12,66776,0.087300,0.956200
39,8,3,65130,0.085200,0.961300
40,17,9,51566,0.067400,0.965200
41,2,17,45633,0.059700,0.968700
42,16,9,43866,0.057400,0.972100
43,7,11,41438,0.054200,0.975300
44,15,9,40824,0.053400,0.978400
45,3,13,40270,0.052600,0.981500
46,9,12,39772,0.052000,0.984600
47,11,3,39647,0.051800,0.987600
48,16,16,33752,0.044100,0.990200
49,1,15,33113,0.043300,0.992800
50,15,8,32491,0.042500,0.995300
51,6,8,22713,0.029700,0.997000
52,6,9,11373,0.014900,0.997900
53,7,14,8787,0.011500,0.998600
54,1,9,5958,0.007800,0.999000
55,10,8,4101,0.005400,0.999300
56,14,3,3516,0.004600,0.999600
57,5,12,2802,0.003700,0.999800
58,7,8,1068,0.001400,0.999900
59,4,17,550,0.000700,1.000000
60,3,11,301,0.000400,1.000000
61,9,16,283,0.000400,1.000000
