Map,Proportionality,Competitiveness,Minority,Compactness,Splitting
Official,82,44,84,51,26
Most Proportional,100,100,68,100,80
Most Competitive,100,100,68,100,80
Best Minority,69,53,98,42,52
Most Compact,100,100,68,100,80
Least Splitting,93,31,58,50,83
Baseline,71,32,67,70,21
