DISTRICT,POPULATION,DISTRICT%
"1/1",612287,0.813300
"1/2",137723,0.182900
"2/1",137582,0.182700
"2/2",390622,0.518800
"2/4",224835,0.298600
"3/3",713828,0.948100
"3/4",40506,0.053800
"4/1",1900,0.002500
"4/2",222531,0.295600
"4/3",40497,0.053800
"4/4",489213,0.649800
