REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,3,613834,0.938800,0.312900
2,2,1,420140,0.642600,0.527100
3,3,2,381380,0.583300,0.721600
4,2,2,232384,0.355400,0.840000
5,3,1,232154,0.355100,0.958400
6,3,3,41613,0.063600,0.979600
7,1,2,39253,0.060000,0.999600
8,2,3,746,0.001100,1.000000
