REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,3,16,709311,0.941100,0.055400
2,17,4,683342,0.906700,0.108700
3,12,8,678271,0.900000,0.161600
4,4,17,668866,0.887500,0.213800
5,14,5,662601,0.879200,0.265600
6,15,7,657505,0.872400,0.316900
7,8,2,631976,0.838500,0.366200
8,6,11,571372,0.758100,0.410800
9,9,14,558912,0.741600,0.454400
10,1,15,513069,0.680800,0.494500
11,7,12,504202,0.669000,0.533800
12,5,9,499919,0.663300,0.572800
13,2,10,498604,0.661600,0.611700
14,13,6,470747,0.624600,0.648500
15,16,3,425857,0.565000,0.681700
16,10,13,409783,0.543700,0.713700
17,11,1,372608,0.494400,0.742800
18,11,13,295548,0.392100,0.765900
19,10,3,259175,0.343900,0.786100
20,2,9,239287,0.317500,0.804800
21,13,1,227423,0.301800,0.822500
22,5,12,224364,0.297700,0.840000
23,16,6,195629,0.259600,0.855300
24,1,10,167926,0.222800,0.868400
25,9,15,131213,0.174100,0.878600
26,6,14,125387,0.166400,0.888400
27,7,11,83097,0.110300,0.894900
28,16,5,79691,0.105700,0.901100
29,15,1,76501,0.101500,0.907100
30,8,11,75911,0.100700,0.913000
31,1,17,74038,0.098200,0.918800
32,12,1,72879,0.096700,0.924500
33,7,14,64394,0.085400,0.929500
34,4,15,62293,0.082700,0.934400
35,6,2,56699,0.075200,0.938800
36,14,7,56064,0.074400,0.943200
37,11,6,54841,0.072800,0.947500
38,7,10,46440,0.061600,0.951100
39,10,2,46051,0.061100,0.954700
40,13,8,43648,0.057900,0.958100
41,17,3,41112,0.054500,0.961300
42,7,13,39888,0.052900,0.964400
43,9,10,38221,0.050700,0.967400
44,14,4,35226,0.046700,0.970100
45,16,7,34888,0.046300,0.972900
46,3,15,29452,0.039100,0.975200
47,8,3,27351,0.036300,0.977300
48,5,8,25775,0.034200,0.979300
49,9,16,25003,0.033200,0.981300
50,11,12,24928,0.033100,0.983200
51,10,11,22958,0.030500,0.985000
52,4,16,20414,0.027100,0.986600
53,17,2,18967,0.025200,0.988100
54,15,6,18108,0.024000,0.989500
55,16,4,17682,0.023500,0.990900
56,8,4,17667,0.023400,0.992200
57,2,15,15795,0.021000,0.993500
58,7,9,14336,0.019000,0.994600
59,10,6,13892,0.018400,0.995700
60,3,17,13226,0.017500,0.996700
61,17,5,11600,0.015400,0.997600
62,13,13,8407,0.011200,0.998300
63,11,8,5867,0.007800,0.998700
64,13,7,5127,0.006800,0.999100
65,5,1,4332,0.005700,0.999500
66,3,14,3040,0.004000,0.999700
67,8,14,1955,0.002600,0.999900
68,12,9,1316,0.001700,1.000000
69,6,10,531,0.000700,1.000000
70,15,5,0,0.000000,1.000000
