Map,Proportionality,Competitiveness,Minority,Compactness,Splitting
Official,0,32,44,58,7
Most Proportional,58,51,50,20,21
Most Competitive,39,68,50,24,26
Best Minority,28,31,50,96,70
Most Compact,7,39,49,100,60
Least Splitting,24,50,50,35,78
Baseline,11,38,49,73,25
