DISTRICT,POPULATION,DISTRICT%
"1/1",686807,0.914600
"1/2",64541,0.085900
"2/1",63446,0.084500
"2/2",531512,0.707800
"2/3",108658,0.144700
"2/5",47199,0.062900
"3/2",38089,0.050700
"3/3",645897,0.860100
"3/4",67607,0.090000
"4/2",38079,0.050700
"4/4",588044,0.783000
"4/6",124765,0.166100
"5/4",94732,0.126100
"5/5",451995,0.601900
"5/6",203803,0.271400
"6/2",78053,0.103900
"6/5",252104,0.335700
"6/6",420505,0.559900
