REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,38,16,712127,0.928500,0.024400
2,4,34,696780,0.908500,0.048300
3,11,1,670903,0.874700,0.071400
4,1,27,663653,0.865300,0.094100
5,13,15,531735,0.693300,0.112400
6,20,12,525545,0.685200,0.130400
7,31,3,506077,0.659800,0.147800
8,32,30,459150,0.598600,0.163500
9,7,10,455278,0.593600,0.179100
10,22,22,439747,0.573300,0.194200
11,2,13,413478,0.539100,0.208400
12,25,38,411029,0.535900,0.222500
13,29,7,408369,0.532400,0.236500
14,17,5,390086,0.508600,0.249900
15,26,9,388662,0.506700,0.263300
16,34,32,384840,0.501800,0.276500
17,21,29,380865,0.496600,0.289500
18,30,25,376642,0.491100,0.302400
19,24,36,376482,0.490900,0.315400
20,23,2,374954,0.488900,0.328200
21,28,2,373928,0.487500,0.341100
22,15,31,366391,0.477700,0.353600
23,9,11,358590,0.467500,0.365900
24,24,14,355239,0.463200,0.378100
25,36,24,354633,0.462400,0.390300
26,2,19,351752,0.458600,0.402400
27,19,23,340730,0.444200,0.414000
28,16,20,338218,0.441000,0.425700
29,10,31,321059,0.418600,0.436700
30,33,26,313306,0.408500,0.447400
31,14,37,309568,0.403600,0.458000
32,6,5,302670,0.394600,0.468400
33,27,18,297999,0.388500,0.478600
34,8,37,289350,0.377300,0.488600
35,18,21,284892,0.371400,0.498400
36,37,4,282115,0.367800,0.508000
37,12,14,269754,0.351700,0.517300
38,25,8,269331,0.351200,0.526500
39,5,20,267223,0.348400,0.535700
40,12,36,258312,0.336800,0.544600
41,37,26,256597,0.334600,0.553400
42,5,21,256109,0.333900,0.562200
43,8,35,255464,0.333100,0.570900
44,19,28,252089,0.328700,0.579600
45,10,17,249188,0.324900,0.588100
46,17,32,234830,0.306200,0.596200
47,26,22,228585,0.298000,0.604000
48,29,9,223932,0.292000,0.611700
49,5,23,222005,0.289500,0.619300
50,9,19,220598,0.287600,0.626900
51,27,29,211951,0.276300,0.634200
52,35,33,210658,0.274700,0.641400
53,18,35,206272,0.268900,0.648500
54,30,6,206156,0.268800,0.655500
55,35,6,203549,0.265400,0.662500
56,10,11,196302,0.255900,0.669300
57,3,19,194637,0.253800,0.675900
58,36,12,189280,0.246800,0.682400
59,23,8,184678,0.240800,0.688800
60,3,25,183972,0.239900,0.695100
61,3,13,180391,0.235200,0.701300
62,16,28,179901,0.234600,0.707400
63,36,26,179609,0.234200,0.713600
64,3,11,179142,0.233600,0.719700
65,22,7,179038,0.233400,0.725900
66,34,24,175212,0.228400,0.731900
67,14,35,172055,0.224300,0.737800
68,18,28,169146,0.220500,0.743600
69,15,37,168069,0.219100,0.749400
70,28,29,166816,0.217500,0.755100
71,7,17,164368,0.214300,0.760700
72,15,10,163765,0.213500,0.766400
73,13,28,163372,0.213000,0.772000
74,6,4,162000,0.211200,0.777500
75,19,20,161546,0.210600,0.783100
76,32,33,160016,0.208600,0.788600
77,35,24,154390,0.201300,0.793800
78,28,18,151557,0.197600,0.799000
79,32,6,151461,0.197500,0.804200
80,21,9,148754,0.193900,0.809400
81,27,7,147859,0.192800,0.814400
82,20,33,146793,0.191400,0.819500
83,12,17,143435,0.187000,0.824400
84,26,14,141994,0.185100,0.829300
85,21,18,140682,0.183400,0.834100
86,7,8,140522,0.183200,0.838900
87,31,4,139205,0.181500,0.843700
88,6,6,138557,0.180700,0.848400
89,37,13,137201,0.178900,0.853100
90,9,23,134505,0.175400,0.857800
91,16,35,133196,0.173700,0.862300
92,35,25,128069,0.167000,0.866700
93,8,21,120573,0.157200,0.870900
94,33,4,119470,0.155800,0.875000
95,23,38,117658,0.153400,0.879000
96,34,30,114364,0.149100,0.882900
97,17,30,108839,0.141900,0.886600
98,29,38,107506,0.140200,0.890300
99,22,8,106500,0.138900,0.894000
100,18,15,105926,0.138100,0.897600
101,27,38,105397,0.137400,0.901200
102,14,17,101257,0.132000,0.904700
103,30,33,99880,0.130200,0.908100
104,14,10,96653,0.126000,0.911500
105,16,21,93332,0.121700,0.914700
106,37,3,91034,0.118700,0.917800
107,23,18,89355,0.116500,0.920900
108,33,3,87564,0.114200,0.923900
109,25,18,87394,0.113900,0.926900
110,33,24,82752,0.107900,0.929700
111,6,3,82312,0.107300,0.932500
112,33,33,79070,0.103100,0.935200
