Map,Proportionality,Competitiveness,Minority,Compactness,Splitting
Official,57,44,0,45,91
Most Proportional,100,43,0,57,73
Most Competitive,100,65,0,53,40
Best Minority,59,46,0,100,97
Most Compact,59,46,0,100,97
Least Splitting,60,46,0,68,100
Baseline,79,48,0,52,27
