DISTRICT,POPULATION,DISTRICT%
"1/1",420573,0.544700
"1/2",5559,0.007200
"1/5",346616,0.448900
"2/1",245763,0.318300
"2/2",475091,0.615300
"2/6",23091,0.029900
"2/7",26961,0.034900
"3/2",104676,0.135600
"3/3",231535,0.299900
"3/5",139857,0.181100
"3/6",14773,0.019100
"3/7",269824,0.349400
"3/8",11068,0.014300
"4/3",326634,0.423000
"4/4",443914,0.574900
"4/8",29,0.000000
"5/3",160812,0.208300
"5/4",329221,0.426400
"5/5",283764,0.367500
"5/7",844,0.001100
"6/6",712048,0.922200
"6/8",65797,0.085200
"7/1",106204,0.137500
"7/2",185168,0.239800
"7/7",475875,0.616300
"8/3",55000,0.071200
"8/6",18648,0.024200
"8/8",697879,0.903800
