DISTRICT,POPULATION,DISTRICT%
"1/1",504785,0.663900
"1/2",160743,0.211400
"1/8",94010,0.123600
"2/2",478270,0.629000
"2/4",673,0.000900
"2/8",281321,0.370000
"3/1",231244,0.304100
"3/2",1224,0.001600
"3/3",283699,0.373100
"3/6",4704,0.006200
"3/8",238783,0.314000
"4/4",461607,0.607100
"4/6",26435,0.034800
"4/7",264263,0.347600
"4/8",8613,0.011300
"5/3",133363,0.175400
"5/5",519939,0.683800
"5/9",61713,0.081200
"5/18",4592,0.006000
"5/20",41268,0.054300
"6/1",32124,0.042200
"6/3",254627,0.334900
"6/6",390241,0.513200
"6/7",82522,0.108500
"6/20",1380,0.001800
"7/3",8615,0.011300
"7/6",342408,0.450300
"7/7",410005,0.539200
"8/2",117512,0.154500
"8/4",52010,0.068400
"8/8",133037,0.175000
"8/10",145458,0.191300
"8/11",20927,0.027500
"8/12",282964,0.372100
"8/15",7797,0.010300
"9/3",80684,0.106100
"9/9",557408,0.733100
"9/14",122007,0.160500
"10/4",249375,0.328000
"10/10",423161,0.556500
"10/14",88959,0.117000
"11/2",5837,0.007700
"11/11",442725,0.582300
"11/15",312658,0.411200
"12/9",4435,0.005800
"12/10",143082,0.188200
"12/11",5542,0.007300
"12/12",475861,0.625800
"12/14",128246,0.168700
"12/16",0,0.000000
"12/17",5527,0.007300
"13/3",5100,0.006700
"13/5",76314,0.100400
"13/13",499135,0.656500
"13/20",49144,0.064600
"13/21",105074,0.138200
"13/22",19932,0.026200
"13/24",6763,0.008900
"14/9",138046,0.181600
"14/10",46684,0.061400
"14/14",421889,0.554900
"14/17",155142,0.204000
"15/11",282245,0.371200
"15/15",437371,0.575200
"15/16",37422,0.049200
"16/5",1071,0.001400
"16/16",402144,0.528900
"16/17",615,0.000800
"16/18",24706,0.032500
"16/19",330735,0.435000
"17/11",6926,0.009100
"17/16",212717,0.279800
"17/17",384709,0.506000
"17/19",154948,0.203800
"18/16",93326,0.122700
"18/18",637747,0.838800
"18/24",30096,0.039600
"19/5",162210,0.213300
"19/16",12007,0.015800
"19/17",214183,0.281700
"19/18",97541,0.128300
"19/19",273731,0.360000
"20/20",178243,0.234400
"20/21",280750,0.369200
"20/26",239108,0.314500
"20/27",48491,0.063800
"20/29",13437,0.017700
"21/13",263614,0.346700
"21/20",37905,0.049900
"21/21",198690,0.261300
"21/22",259138,0.340800
"22/20",82280,0.108200
"22/21",202576,0.266400
"22/22",476662,0.626900
"23/20",287394,0.378000
"23/23",246055,0.323600
"23/33",219641,0.288900
"23/39",7855,0.010300
"24/21",963,0.001300
"24/24",727531,0.956800
"24/26",31219,0.041100
