REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,1,620875,0.800900,0.061600
2,13,6,511603,0.660000,0.112400
3,11,11,502637,0.648400,0.162300
4,5,4,495488,0.639200,0.211400
5,6,7,492253,0.635000,0.260300
6,7,12,435346,0.561600,0.303500
7,10,9,431239,0.556300,0.346300
8,3,3,410948,0.530100,0.387000
9,12,8,401109,0.517400,0.426800
10,2,8,374120,0.482600,0.464000
11,4,3,364466,0.470200,0.500100
12,8,10,358177,0.462100,0.535700
13,10,10,344497,0.444400,0.569900
14,8,13,324960,0.419200,0.602100
15,4,2,303141,0.391100,0.632200
16,5,5,275049,0.354800,0.659500
17,9,13,266156,0.343300,0.685900
18,6,5,262550,0.338700,0.712000
19,9,12,258051,0.332900,0.737600
20,12,9,233052,0.300600,0.760700
21,3,4,219786,0.283500,0.782500
22,7,13,184550,0.238100,0.800800
23,9,6,172645,0.222700,0.817900
24,2,2,168863,0.217800,0.834700
25,7,11,154952,0.199900,0.850100
26,2,1,154500,0.199300,0.865400
27,1,2,154100,0.198800,0.880700
28,13,5,151238,0.195100,0.895700
29,3,2,145559,0.187800,0.910200
30,13,7,112440,0.145100,0.921300
31,12,7,105984,0.136700,0.931800
32,8,11,82034,0.105800,0.940000
33,11,12,81850,0.105600,0.948100
34,9,5,77628,0.100100,0.955800
35,11,10,72544,0.093600,0.963000
36,11,6,59854,0.077200,0.968900
37,4,4,59326,0.076500,0.974800
38,11,9,58839,0.075900,0.980700
39,2,9,51832,0.066900,0.985800
40,4,7,37546,0.048400,0.989500
41,12,11,35945,0.046400,0.993100
42,2,7,27015,0.034900,0.995800
43,6,6,20383,0.026300,0.997800
44,8,6,10788,0.013900,0.998900
45,4,5,8079,0.010400,0.999700
46,5,2,3334,0.004300,1.000000
