DISTRICT,POPULATION,DISTRICT%
"1/1",198207,0.257600
"1/2",170221,0.221200
"1/3",251325,0.326700
"1/8",151197,0.196500
"2/1",352609,0.458300
"2/2",387750,0.504000
"2/3",10853,0.014100
"2/8",19476,0.025300
"3/1",187883,0.244200
"3/2",83221,0.108200
"3/3",407193,0.529300
"3/4",43471,0.056500
"3/5",45636,0.059300
"4/1",5981,0.007800
"4/3",9205,0.012000
"4/4",534430,0.694600
"4/5",61466,0.079900
"4/7",156718,0.203700
"5/5",653748,0.849700
"5/6",97169,0.126300
"5/7",18185,0.023600
"6/3",90689,0.117900
"6/5",7865,0.010200
"6/6",672438,0.874000
"7/4",173241,0.225200
"7/7",595525,0.774000
"8/1",24963,0.032400
"8/2",125476,0.163100
"8/4",19647,0.025500
"8/8",599125,0.778700
