REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,6,2,713143,0.908800,0.082600
2,7,10,670388,0.854400,0.160300
3,11,5,653865,0.833300,0.236000
4,5,11,628988,0.801600,0.308900
5,10,3,530124,0.675600,0.370300
6,8,1,463970,0.591300,0.424100
7,9,6,457037,0.582500,0.477000
8,3,9,433491,0.552400,0.527300
9,4,7,422219,0.538100,0.576200
10,1,7,352862,0.449700,0.617100
11,2,9,340759,0.434300,0.656500
12,9,8,327596,0.417500,0.694500
13,1,4,317226,0.404300,0.731200
14,4,1,316401,0.403200,0.767900
15,3,4,260619,0.332100,0.798100
16,2,8,253477,0.323000,0.827500
17,8,6,200710,0.255800,0.850700
18,2,4,147456,0.187900,0.867800
19,11,3,132151,0.168400,0.883100
20,10,5,127530,0.162500,0.897900
21,10,6,121973,0.155400,0.912000
22,8,3,119407,0.152200,0.925900
23,7,11,115049,0.146600,0.939200
24,5,10,110463,0.140800,0.952000
25,3,8,91939,0.117200,0.962600
26,1,2,74723,0.095200,0.971300
27,6,4,61271,0.078100,0.978400
28,4,8,42826,0.054600,0.983300
29,2,11,39188,0.049900,0.987900
30,1,8,38501,0.049100,0.992300
31,5,8,31896,0.040600,0.996000
32,5,9,12948,0.016500,0.997500
33,6,7,7224,0.009200,0.998400
34,2,10,4933,0.006300,0.999000
35,10,1,3620,0.004600,0.999400
36,1,9,2515,0.003200,0.999700
37,4,6,1911,0.002400,0.999900
38,9,1,994,0.001300,1.000000
