DISTRICT,POPULATION,DISTRICT%
"1/1",407483,0.524900
"1/2",355881,0.458400
"1/6",12904,0.016600
"2/1",311025,0.400700
"2/2",297114,0.382700
"2/3",60311,0.077700
"2/6",107867,0.139000
"3/3",498061,0.641600
"3/5",278214,0.358400
"4/3",62568,0.080600
"4/4",480391,0.618800
"4/5",233374,0.300600
"5/1",57475,0.074000
"5/3",45706,0.058900
"5/4",295879,0.381100
"5/5",264790,0.341100
"5/6",112427,0.144800
"6/1",0,0.000000
"6/2",122986,0.158400
"6/3",109524,0.141100
"6/6",543777,0.700500
