REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,8,10,712709,0.955800,0.068300
2,1,3,709971,0.952100,0.136300
3,3,4,677401,0.908400,0.201200
4,11,13,523109,0.701500,0.251300
5,10,14,521121,0.698900,0.301200
6,7,2,473440,0.634900,0.346500
7,4,6,457627,0.613700,0.390400
8,9,9,424840,0.569700,0.431100
9,14,7,419841,0.563000,0.471300
10,2,11,405496,0.543800,0.510100
11,13,1,366854,0.492000,0.545300
12,6,12,357212,0.479000,0.579500
13,6,5,343698,0.460900,0.612400
14,12,1,273038,0.366200,0.638600
15,14,2,272795,0.365800,0.664700
16,12,12,255978,0.343300,0.689200
17,4,8,249374,0.334400,0.713100
18,7,5,237974,0.319100,0.735900
19,13,6,231041,0.309800,0.758000
20,5,14,227330,0.304900,0.779800
21,11,8,216456,0.290300,0.800600
22,5,11,210529,0.282300,0.820700
23,5,7,192355,0.258000,0.839100
24,9,8,172646,0.231500,0.855700
25,12,9,162886,0.218400,0.871300
26,13,9,150143,0.201400,0.885700
27,10,13,144551,0.193900,0.899500
28,2,5,142095,0.190600,0.913100
29,2,7,133095,0.178500,0.925900
30,9,1,104798,0.140500,0.935900
31,5,12,96772,0.129800,0.945200
32,10,8,79606,0.106800,0.952800
33,2,4,66652,0.089400,0.959200
34,3,11,66287,0.088900,0.965500
35,12,13,55696,0.074700,0.970900
36,14,11,52657,0.070600,0.975900
37,4,3,36405,0.048800,0.979400
38,7,12,35389,0.047500,0.982800
39,6,10,33507,0.044900,0.986000
40,9,6,32238,0.043200,0.989100
41,1,6,22568,0.030300,0.991300
42,8,5,19564,0.026200,0.993100
43,1,8,14903,0.020000,0.994600
44,6,13,13469,0.018100,0.995900
45,8,11,13042,0.017500,0.997100
46,5,8,11490,0.015400,0.998200
47,9,13,8596,0.011500,0.999000
48,11,9,5602,0.007500,0.999600
49,5,13,2788,0.003700,0.999800
50,3,10,1754,0.002400,1.000000
