DISTRICT,POPULATION,DISTRICT%
"1/1",205376,0.278800
"1/4",374672,0.508600
"1/5",156972,0.213100
"2/1",736,0.001000
"2/2",534327,0.725300
"2/5",201775,0.273900
"3/2",2108,0.002900
"3/3",629883,0.855000
"3/7",104694,0.142100
"4/1",138860,0.188500
"4/4",360360,0.489100
"4/6",4216,0.005700
"4/8",233338,0.316700
"5/1",273939,0.371800
"5/2",96324,0.130700
"5/5",366571,0.497600
"6/1",93597,0.127000
"6/2",2317,0.003100
"6/6",414346,0.562400
"6/7",14700,0.020000
"6/8",211940,0.287700
"7/1",25131,0.034100
"7/2",104737,0.142200
"7/3",105389,0.143100
"7/5",11316,0.015400
"7/6",42220,0.057300
"7/7",447298,0.607200
"8/6",278481,0.378000
"8/7",168197,0.228300
"8/8",289898,0.393500
