REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,6,10,717151,0.926500,0.077200
2,7,9,690688,0.892300,0.151600
3,5,11,650115,0.839900,0.221500
4,12,8,606106,0.783000,0.286800
5,4,7,571165,0.737900,0.348300
6,8,12,565780,0.730900,0.409200
7,3,5,565493,0.730500,0.470100
8,2,2,514231,0.664300,0.525400
9,1,1,505905,0.653600,0.579900
10,9,3,463450,0.598700,0.629800
11,11,4,423127,0.546600,0.675300
12,10,6,367606,0.474900,0.714900
13,9,6,310394,0.401000,0.748300
14,1,2,268072,0.346300,0.777200
15,10,4,258347,0.333700,0.805000
16,12,3,167515,0.216400,0.823000
17,11,1,153660,0.198500,0.839600
18,11,3,148103,0.191300,0.855500
19,10,12,145979,0.188600,0.871200
20,2,8,145213,0.187600,0.886900
21,2,1,115312,0.149000,0.899300
22,3,7,108251,0.139800,0.910900
23,4,5,105946,0.136900,0.922300
24,4,4,96231,0.124300,0.932700
25,8,6,85837,0.110900,0.941900
26,7,5,74097,0.095700,0.949900
27,8,7,72378,0.093500,0.957700
28,3,9,59946,0.077400,0.964200
29,5,12,58369,0.075400,0.970400
30,8,11,48328,0.062400,0.975600
31,5,10,44253,0.057200,0.980400
32,3,11,40214,0.052000,0.984700
33,6,11,34160,0.044100,0.988400
34,11,8,23186,0.030000,0.990900
35,5,5,20534,0.026500,0.993100
36,6,9,20125,0.026000,0.995300
37,11,7,18002,0.023300,0.997200
38,7,10,8693,0.011200,0.998200
39,11,6,8020,0.010400,0.999000
40,6,5,3516,0.004500,0.999400
41,10,7,3046,0.003900,0.999700
42,8,4,1512,0.002000,0.999900
43,5,7,938,0.001200,1.000000
