REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,1,709439,0.889500,0.222400
2,4,3,706713,0.886100,0.443900
3,2,2,683878,0.857400,0.658200
4,3,4,632110,0.792500,0.856400
5,3,3,90461,0.113400,0.884700
6,4,4,87688,0.109900,0.912200
7,1,2,87350,0.109500,0.939600
8,2,4,80308,0.100700,0.964800
9,3,1,51863,0.065000,0.981000
10,2,1,36049,0.045200,0.992300
11,3,2,23622,0.029600,0.999700
12,2,3,888,0.001100,1.000000
