DISTRICT,POPULATION,DISTRICT%
"1/1",446812,0.619100
"1/6",81262,0.112600
"1/8",193213,0.267700
"2/2",450995,0.624900
"2/7",271142,0.375700
"3/2",25666,0.035600
"3/3",687262,0.952300
"3/4",7244,0.010000
"4/4",357840,0.495800
"4/5",275403,0.381600
"4/6",88235,0.122300
"5/3",32197,0.044600
"5/4",2215,0.003100
"5/5",444955,0.616500
"5/6",118911,0.164800
"5/8",123892,0.171700
"6/1",80987,0.112200
"6/4",4492,0.006200
"6/6",388774,0.538700
"6/7",30819,0.042700
"6/8",216800,0.300400
"7/1",195177,0.270400
"7/2",2311,0.003200
"7/4",350781,0.486000
"7/6",45830,0.063500
"7/7",128469,0.178000
"8/2",243144,0.336900
"8/7",289849,0.401600
"8/8",189037,0.261900
