DISTRICT,POPULATION,DISTRICT%
"1/1",449885,0.615300
"1/6",281541,0.385000
"2/1",15165,0.020700
"2/2",602292,0.823700
"2/4",34640,0.047400
"2/5",78354,0.107200
"3/2",86616,0.118500
"3/3",639314,0.874300
"3/4",4802,0.006600
"4/2",1145,0.001600
"4/3",91171,0.124700
"4/4",639118,0.874100
"5/2",5002,0.006800
"5/4",51677,0.070700
"5/5",643046,0.879400
"5/7",31487,0.043100
"6/1",267251,0.365500
"6/2",36592,0.050000
"6/5",9283,0.012700
"6/6",397816,0.544100
"6/7",20639,0.028200
"7/6",52263,0.071500
"7/7",679326,0.929100
