DISTRICT,POPULATION,DISTRICT%
"1/1",748331,0.974600
"1/2",20002,0.026000
"2/1",19645,0.025600
"2/2",709749,0.924300
"2/3",18391,0.024000
"2/4",19013,0.024800
"3/2",37014,0.048200
"3/3",665513,0.866700
"3/4",64460,0.083900
"4/3",83540,0.108800
"4/4",306879,0.399600
"4/5",376339,0.490100
"5/5",323694,0.421500
"5/6",142001,0.184900
"5/7",303883,0.395700
"6/4",355870,0.463500
"6/5",67063,0.087300
"6/6",346862,0.451700
"6/7",251,0.000300
"7/4",21663,0.028200
"7/6",280806,0.365700
"7/7",454768,0.592200
"7/8",9527,0.012400
"8/7",9780,0.012700
"8/8",735894,0.958400
"8/9",25154,0.032800
"9/8",23427,0.030500
"9/9",741321,0.965400
