DISTRICT,POPULATION,DISTRICT%
"1/1",670903,0.874700
"1/6",69289,0.090300
"1/14",26795,0.034900
"2/2",373928,0.487500
"2/8",374954,0.488900
"2/29",18098,0.023600
"2/36",7,0.000000
"3/3",506077,0.659800
"3/4",91034,0.118700
"3/6",82312,0.107300
"3/26",87564,0.114200
"4/1",12391,0.016200
"4/3",139205,0.181500
"4/4",282115,0.367800
"4/5",34174,0.044600
"4/6",162000,0.211200
"4/26",119470,0.155800
"4/32",17632,0.023000
"5/1",26681,0.034800
"5/3",47550,0.062000
"5/5",390086,0.508600
"5/6",302670,0.394600
"6/1",41119,0.053600
"6/6",138557,0.180700
"6/14",1827,0.002400
"6/25",206156,0.268800
"6/26",7697,0.010000
"6/30",151461,0.197500
"6/32",16621,0.021700
"6/33",203549,0.265400
"7/7",408369,0.532400
"7/9",6771,0.008800
"7/18",147859,0.192800
"7/22",179038,0.233400
"7/29",24950,0.032500
"8/8",184678,0.240800
"8/10",140522,0.183200
"8/14",65956,0.086000
"8/22",106500,0.138900
"8/38",269331,0.351200
"9/7",223932,0.292000
"9/9",388662,0.506700
"9/18",5639,0.007400
"9/29",148754,0.193900
"10/10",455278,0.593600
"10/22",19927,0.026000
"10/27",1709,0.002200
"10/31",163765,0.213500
"10/35",29655,0.038700
"10/37",96653,0.126000
"11/11",358590,0.467500
"11/17",196302,0.255900
"11/19",179142,0.233600
"11/21",19963,0.026000
"11/31",12990,0.016900
"12/12",525545,0.685200
"12/19",19006,0.024800
"12/24",189280,0.246800
"12/25",26035,0.033900
"12/33",7121,0.009300
"13/4",137201,0.178900
"13/12",3241,0.004200
"13/13",413478,0.539100
"13/19",180391,0.235200
"13/24",32676,0.042600
"14/9",141994,0.185100
"14/14",269754,0.351700
"14/36",355239,0.463200
"15/15",531735,0.693300
"15/20",5417,0.007100
"15/27",49906,0.065100
"15/28",105926,0.138100
"15/34",74003,0.096500
"16/11",54859,0.071500
"16/16",712127,0.928500
"17/1",16248,0.021200
"17/6",14030,0.018300
"17/10",164368,0.214300
"17/14",143435,0.187000
"17/17",249188,0.324900
"17/25",23013,0.030000
"17/31",55448,0.072300
"17/37",101257,0.132000
"18/2",151557,0.197600
"18/8",89355,0.116500
"18/18",297999,0.388500
"18/29",140682,0.183400
"18/38",87394,0.113900
"19/11",220598,0.287600
"19/13",351752,0.458600
"19/19",194637,0.253800
"20/20",338218,0.441000
"20/21",267223,0.348400
"20/23",161546,0.210600
"21/20",93332,0.121700
"21/21",256109,0.333900
"21/23",11706,0.015300
"21/28",284892,0.371400
"21/31",375,0.000500
"21/35",120573,0.157200
"22/7",25355,0.033100
"22/9",228585,0.298000
"22/22",439747,0.573300
"22/27",46619,0.060800
"22/36",26681,0.034800
"23/11",134505,0.175400
"23/16",54209,0.070700
"23/20",15538,0.020300
"23/21",222005,0.289500
"23/23",340730,0.444200
"24/24",354633,0.462400
"24/26",82752,0.107900
"24/32",175212,0.228400
"24/33",154390,0.201300
"25/12",78304,0.102100
"25/19",183972,0.239900
"25/25",376642,0.491100
"25/33",128069,0.167000
"26/4",256597,0.334600
"26/12",13969,0.018200
"26/19",3506,0.004600
"26/24",179609,0.234200
"26/26",313306,0.408500
"27/15",3400,0.004400
"27/27",663653,0.865300
"27/28",888,0.001200
"27/35",74327,0.096900
"27/37",24719,0.032200
"28/15",163372,0.213000
"28/20",179901,0.234600
"28/23",252089,0.328700
"28/27",2479,0.003200
"28/28",169146,0.220500
"29/2",166816,0.217500
"29/18",211951,0.276300
"29/29",380865,0.496600
"29/36",7355,0.009600
"30/5",108839,0.141900
"30/25",19456,0.025400
"30/30",459150,0.598600
"30/32",114364,0.149100
"30/33",65178,0.085000
"31/17",321059,0.418600
"31/19",5367,0.007000
"31/25",10835,0.014100
"31/31",366391,0.477700
"31/37",63335,0.082600
"32/3",69872,0.091100
"32/5",234830,0.306200
"32/26",77445,0.101000
"32/32",384840,0.501800
"33/12",146793,0.191400
"33/24",13392,0.017500
"33/25",99880,0.130200
"33/26",79070,0.103100
"33/30",160016,0.208600
"33/32",57178,0.074500
"33/33",210658,0.274700
"34/15",68773,0.089700
"34/27",1434,0.001900
"34/34",696780,0.908500
"35/20",133196,0.173700
"35/28",206272,0.268900
"35/35",255464,0.333100
"35/37",172055,0.224300
"36/2",76474,0.099700
"36/14",258312,0.336800
"36/29",55719,0.072600
"36/36",376482,0.490900
"37/31",168069,0.219100
"37/35",289350,0.377300
"37/37",309568,0.403600
"38/7",107506,0.140200
"38/8",117658,0.153400
"38/10",6444,0.008400
"38/18",105397,0.137400
"38/22",18953,0.024700
"38/38",411029,0.535900
