DISTRICT,POPULATION,DISTRICT%
"1/1",703145,0.979600
"1/2",827,0.001200
"1/7",13485,0.018800
"2/1",13732,0.019100
"2/2",654228,0.911500
"2/7",45070,0.062800
"3/2",62078,0.086500
"3/3",562732,0.784000
"3/7",92942,0.129500
"4/3",113219,0.157700
"4/4",606490,0.845000
"4/5",10,0.000000
"5/4",93434,0.130200
"5/5",626407,0.872700
"6/3",42473,0.059200
"6/4",15518,0.021600
"6/5",11452,0.016000
"6/6",598993,0.834500
"6/7",49832,0.069400
"7/5",80634,0.112300
"7/6",121537,0.169300
"7/7",516041,0.719000
