DISTRICT,POPULATION,DISTRICT%
"1/1",462833,0.633000
"1/6",268593,0.367300
"2/2",450672,0.616300
"2/4",43354,0.059300
"2/5",52452,0.071700
"2/6",183973,0.251600
"3/3",433069,0.592300
"3/4",297663,0.407100
"4/3",299178,0.409200
"4/4",390364,0.533900
"4/5",41892,0.057300
"5/2",183294,0.250700
"5/5",546056,0.746800
"5/7",1862,0.002500
"6/1",183196,0.250500
"6/2",97120,0.132800
"6/5",20751,0.028400
"6/6",277017,0.378900
"6/7",153497,0.209900
"7/1",86497,0.118300
"7/5",69456,0.095000
"7/7",575636,0.787200
