REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,4,5,754175,0.978800,0.097900
2,1,3,719583,0.933900,0.191300
3,2,4,685886,0.890200,0.280300
4,8,1,650297,0.844000,0.364700
5,10,2,534216,0.693300,0.434000
6,7,7,495088,0.642500,0.498300
7,6,9,424234,0.550600,0.553300
8,9,8,390792,0.507200,0.604000
9,3,10,389961,0.506100,0.654600
10,9,10,377550,0.490000,0.703600
11,3,6,328381,0.426200,0.746300
12,5,9,306085,0.397200,0.786000
13,5,7,256380,0.332700,0.819300
14,7,6,223610,0.290200,0.848300
15,5,8,199753,0.259200,0.874200
16,10,6,191917,0.249100,0.899100
17,6,8,172340,0.223700,0.921500
18,6,2,92787,0.120400,0.933500
19,2,2,66871,0.086800,0.942200
20,6,4,60781,0.078900,0.950100
21,8,2,59912,0.077800,0.957900
22,7,1,52131,0.067700,0.964600
23,3,3,51537,0.066900,0.971300
24,10,1,45017,0.058400,0.977200
25,8,9,41296,0.053600,0.982500
26,1,4,22629,0.029400,0.985500
27,6,1,20071,0.026000,0.988100
28,1,6,19700,0.025600,0.990600
29,8,7,18913,0.024500,0.993100
30,2,5,18816,0.024400,0.995500
31,4,2,16522,0.021400,0.997700
32,5,6,7664,0.009900,0.998700
33,1,8,5842,0.007600,0.999400
34,1,10,2668,0.003500,0.999800
35,9,6,1637,0.002100,1.000000
36,9,3,239,0.000300,1.000000
