DISTRICT,POPULATION,DISTRICT%
"1/1",739314,0.984500
"1/2",12034,0.016000
"2/1",11659,0.015500
"2/2",559342,0.744800
"2/3",179814,0.239400
"3/2",19247,0.025600
"3/3",571159,0.760600
"3/4",161187,0.214600
"4/4",589786,0.785400
"4/5",32069,0.042700
"4/6",129033,0.171800
"5/5",683391,0.910000
"5/6",67139,0.089400
"6/2",160349,0.213500
"6/5",35512,0.047300
"6/6",554801,0.738800
