REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,4,1,683576,0.907900,0.227000
2,1,2,629342,0.835900,0.436000
3,2,3,601116,0.798400,0.635600
4,3,4,553955,0.735800,0.819500
5,2,4,148894,0.197800,0.869000
6,3,3,143900,0.191100,0.916700
7,4,2,70758,0.094000,0.940200
8,1,1,68178,0.090600,0.962900
9,3,2,55184,0.073300,0.981200
10,1,4,49884,0.066300,0.997800
11,1,3,6737,0.008900,1.000000
