AREA,PROPORTIONAL,COMPETITIVE,MINORITY,COMPACT,SPLITTING,POPULATION,DISTRICT%,CUMULATIVE%
280,11,6,7,8,4,7940,0.0102,0.9791
281,11,6,7,7,6,7918,0.0102,0.9795
282,5,7,6,12,5,7874,0.0101,0.9799
283,2,4,3,2,3,7828,0.0101,0.9802
284,25,26,26,26,25,7814,0.0101,0.9806
285,4,3,3,4,13,7770,0.0100,0.9810
286,3,3,3,5,13,7633,0.0098,0.9814
287,15,16,16,16,15,7575,0.0097,0.9818
288,2,3,3,4,3,7562,0.0097,0.9821
289,15,16,16,14,8,7441,0.0096,0.9825
290,11,12,5,9,6,7339,0.0094,0.9829
291,7,9,14,12,12,7331,0.0094,0.9832
292,11,6,9,6,6,7291,0.0094,0.9836
293,16,18,17,16,18,7265,0.0094,0.9840
294,7,6,8,13,10,7218,0.0093,0.9843
295,2,3,3,2,3,7093,0.0091,0.9847
296,4,4,3,3,13,6982,0.0090,0.9850
297,7,8,7,12,12,6726,0.0087,0.9853
298,4,6,4,7,5,6650,0.0086,0.9857
299,16,16,13,16,15,6620,0.0085,0.9860
300,6,10,10,9,9,6258,0.0081,0.9863
301,1,2,2,1,1,6238,0.0080,0.9866
302,16,16,16,17,18,6120,0.0079,0.9869
303,21,21,21,20,20,5939,0.0076,0.9872
304,3,2,2,3,13,5643,0.0073,0.9875
305,19,18,19,20,19,5620,0.0072,0.9878
306,6,7,6,5,5,5474,0.0070,0.9880
307,4,4,3,3,3,5413,0.0070,0.9883
308,11,12,7,6,6,5411,0.0070,0.9886
309,8,11,7,9,11,5370,0.0069,0.9888
310,26,26,23,26,26,5246,0.0068,0.9891
311,26,25,23,26,26,4947,0.0064,0.9894
312,6,10,8,12,9,4894,0.0063,0.9896
313,11,12,10,9,6,4773,0.0061,0.9898
314,25,23,23,23,26,4764,0.0061,0.9901
315,9,10,5,12,9,4713,0.0061,0.9903
316,6,6,7,12,12,4562,0.0059,0.9905
317,16,16,17,16,17,4542,0.0058,0.9908
318,26,25,26,26,26,4441,0.0057,0.9910
319,16,15,13,15,15,4366,0.0056,0.9912
320,2,4,3,4,3,4309,0.0055,0.9914
321,5,7,8,12,5,4297,0.0055,0.9916
322,11,11,10,9,6,4248,0.0055,0.9918
323,11,11,5,8,6,4102,0.0053,0.9920
324,9,11,10,8,11,4032,0.0052,0.9922
325,2,2,3,4,2,4023,0.0052,0.9924
326,2,2,3,4,3,4002,0.0052,0.9926
327,7,9,14,14,10,3942,0.0051,0.9928
328,8,10,8,9,9,3869,0.0050,0.9930
329,17,16,16,16,18,3866,0.0050,0.9932
330,7,8,8,12,10,3802,0.0049,0.9934
331,6,7,5,12,12,3801,0.0049,0.9936
332,16,15,13,16,15,3744,0.0048,0.9938
333,5,6,8,12,12,3722,0.0048,0.9939
334,18,19,19,18,16,3719,0.0048,0.9941
335,11,6,7,7,4,3548,0.0046,0.9943
336,6,7,8,12,5,3473,0.0045,0.9945
337,18,18,18,18,17,3460,0.0045,0.9946
338,18,18,19,19,16,3450,0.0044,0.9948
339,20,17,19,18,16,3425,0.0044,0.9950
340,17,18,18,17,17,3279,0.0042,0.9952
341,14,14,13,15,7,3202,0.0041,0.9953
342,22,24,22,22,22,3102,0.0040,0.9955
343,4,3,3,3,13,3068,0.0039,0.9956
344,9,10,10,9,11,2917,0.0038,0.9958
345,3,4,3,3,3,2883,0.0037,0.9959
346,10,5,9,7,9,2867,0.0037,0.9960
347,1,2,1,2,2,2833,0.0036,0.9962
348,2,1,2,1,1,2818,0.0036,0.9963
349,9,11,10,9,9,2598,0.0033,0.9965
350,4,3,6,4,13,2519,0.0032,0.9966
351,4,4,3,5,13,2505,0.0032,0.9967
352,3,4,3,3,13,2379,0.0031,0.9968
353,1,1,2,2,1,2238,0.0029,0.9969
354,25,26,23,26,25,2215,0.0029,0.9970
355,11,12,7,6,4,2184,0.0028,0.9971
356,11,11,9,8,6,2153,0.0028,0.9973
357,14,15,13,14,15,2107,0.0027,0.9974
358,17,19,18,18,16,2054,0.0026,0.9975
359,6,6,8,12,12,2036,0.0026,0.9976
360,7,6,7,12,12,1978,0.0025,0.9977
361,21,21,21,22,20,1942,0.0025,0.9978
362,11,12,5,9,11,1885,0.0024,0.9978
363,9,6,9,8,9,1869,0.0024,0.9979
364,2,2,2,1,1,1758,0.0023,0.9980
365,1,1,2,1,2,1737,0.0022,0.9981
366,7,8,5,12,10,1721,0.0022,0.9982
367,5,8,7,12,10,1713,0.0022,0.9983
368,6,10,10,9,11,1626,0.0021,0.9984
369,11,12,7,9,6,1577,0.0020,0.9984
370,15,15,13,15,15,1554,0.0020,0.9985
371,15,16,13,16,15,1516,0.0020,0.9986
372,3,4,2,3,13,1497,0.0019,0.9987
373,6,6,8,12,5,1377,0.0018,0.9987
374,18,19,18,18,17,1343,0.0017,0.9988
375,9,10,5,9,9,1333,0.0017,0.9989
376,6,11,5,13,11,1207,0.0016,0.9989
377,6,8,7,12,12,1206,0.0016,0.9990
378,17,18,18,18,16,1193,0.0015,0.9990
