REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,2,716770,0.913500,0.083000
2,11,10,675529,0.860900,0.161300
3,7,5,650658,0.829200,0.236700
4,5,11,638089,0.813200,0.310600
5,8,3,559593,0.713200,0.375400
6,10,1,503268,0.641400,0.433800
7,9,6,500735,0.638100,0.491800
8,3,9,440672,0.561600,0.542800
9,4,7,418109,0.532800,0.591300
10,2,7,356972,0.454900,0.632600
11,6,9,330427,0.421100,0.670900
12,2,4,314653,0.401000,0.707400
13,9,8,282629,0.360200,0.740100
14,6,8,278244,0.354600,0.772300
15,3,4,270556,0.344800,0.803700
16,4,1,268989,0.342800,0.834800
17,10,6,187119,0.238500,0.856500
18,6,4,137519,0.175300,0.872500
19,7,3,132151,0.168400,0.887800
20,8,5,130737,0.166600,0.902900
21,11,11,110915,0.141400,0.915800
22,5,10,105322,0.134200,0.928000
23,4,8,93192,0.118800,0.938800
24,10,3,89938,0.114600,0.949200
25,8,6,87111,0.111000,0.959300
26,3,8,75181,0.095800,0.968000
27,2,2,71096,0.090600,0.976200
28,1,4,63844,0.081400,0.983600
29,2,8,35747,0.045600,0.987800
30,6,11,34221,0.043600,0.991700
31,5,8,21242,0.027100,0.994200
32,5,9,16714,0.021300,0.996100
33,8,1,11734,0.015000,0.997500
34,1,7,7224,0.009200,0.998300
35,4,6,6666,0.008500,0.999100
36,6,10,4933,0.006300,0.999700
37,2,9,1900,0.002400,0.999900
38,9,1,994,0.001300,1.000000
