REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,1,11,720486,0.966200,0.069000
2,5,4,561426,0.752900,0.122800
3,10,6,558455,0.748900,0.176300
4,12,14,507943,0.681200,0.224900
5,14,5,496567,0.665900,0.272500
6,4,10,481251,0.645400,0.318600
7,8,7,460772,0.617900,0.362800
8,13,2,451836,0.605900,0.406000
9,6,9,428979,0.575300,0.447100
10,3,1,395367,0.530200,0.485000
11,9,12,383065,0.513700,0.521700
12,3,3,350521,0.470100,0.555300
13,7,13,346547,0.464700,0.588500
14,2,13,334880,0.449100,0.620500
15,11,8,316585,0.424600,0.650900
16,8,3,287051,0.385000,0.678400
17,6,7,283070,0.379600,0.705500
18,2,1,252330,0.338400,0.729700
19,11,14,237728,0.318800,0.752400
20,4,5,234915,0.315000,0.774900
21,7,2,233679,0.313400,0.797300
22,11,12,189413,0.254000,0.815500
23,9,8,188273,0.252500,0.833500
24,9,10,180673,0.242300,0.850800
25,12,12,173193,0.232300,0.867400
26,14,8,150793,0.202200,0.881800
27,13,4,140515,0.188400,0.895300
28,10,9,129498,0.173700,0.907700
29,7,9,99899,0.134000,0.917300
30,13,1,97973,0.131400,0.926700
31,2,3,97159,0.130300,0.936000
32,5,6,96039,0.128800,0.945200
33,14,6,91176,0.122300,0.953900
34,5,9,87296,0.117100,0.962300
35,13,13,64243,0.086200,0.968400
36,12,10,63736,0.085500,0.974500
37,2,2,60156,0.080700,0.980300
38,10,8,59080,0.079200,0.985900
39,7,4,43729,0.058600,0.990100
40,6,8,30940,0.041500,0.993100
41,4,11,25185,0.033800,0.995500
42,1,5,14188,0.019000,0.996900
43,1,10,12053,0.016200,0.998000
44,6,3,10939,0.014700,0.999100
45,14,10,7957,0.010700,0.999800
46,7,7,1829,0.002500,1.000000
