REGION,BASELINE,OTHER,POPULATION,DISTRICT%,CUMULATIVE%
1,6,6,457037,0.597300,0.042700
2,3,11,433731,0.566900,0.083200
3,5,10,429599,0.561500,0.123300
4,13,5,421263,0.550600,0.162600
5,7,8,417209,0.545300,0.201500
6,1,9,411775,0.538200,0.240000
7,14,13,390427,0.510300,0.276400
8,8,7,356603,0.466100,0.309700
9,2,13,356400,0.465800,0.343000
10,4,9,353013,0.461400,0.375900
11,7,4,345312,0.451300,0.408200
12,5,11,334036,0.436600,0.439400
13,12,3,333690,0.436100,0.470500
14,12,5,329575,0.430700,0.501300
15,4,10,324227,0.423800,0.531500
16,11,1,314770,0.411400,0.560900
17,10,1,309946,0.405100,0.589900
18,9,12,305065,0.398700,0.618300
19,1,7,284597,0.372000,0.644900
20,9,2,277615,0.362800,0.670800
21,10,2,229787,0.300300,0.692300
22,10,12,217015,0.283600,0.712500
23,8,8,212926,0.278300,0.732400
24,3,14,211044,0.275800,0.752100
25,14,12,202708,0.264900,0.771000
26,2,6,187638,0.245200,0.788600
27,2,14,185065,0.241900,0.805800
28,13,3,177199,0.231600,0.822400
29,13,4,169640,0.221700,0.838200
30,14,14,166637,0.217800,0.853800
31,8,14,155466,0.203200,0.868300
32,11,2,149877,0.195900,0.882300
33,11,3,140954,0.184200,0.895400
34,9,6,119466,0.156100,0.906600
35,6,4,118849,0.155300,0.917700
36,6,3,112156,0.146600,0.928200
37,3,7,109255,0.142800,0.938400
38,11,4,106527,0.139200,0.948300
39,4,8,76263,0.099700,0.955400
40,12,1,70295,0.091900,0.962000
41,9,1,68519,0.089600,0.968400
42,6,2,62437,0.081600,0.974200
43,1,8,56893,0.074400,0.979500
44,2,12,41266,0.053900,0.983400
45,11,14,36172,0.047300,0.986700
46,12,2,29339,0.038300,0.989500
47,8,4,25661,0.033500,0.991900
48,4,7,13955,0.018200,0.993200
49,10,13,11241,0.014700,0.994200
50,1,14,11191,0.014600,0.995300
51,3,10,10354,0.013500,0.996200
52,8,2,10346,0.013500,0.997200
53,6,5,8408,0.011000,0.998000
54,11,13,7320,0.009600,0.998700
55,11,5,6126,0.008000,0.999300
56,14,2,5310,0.006900,0.999700
57,11,8,2713,0.003500,1.000000
