AREA,DISTRICTS,BLOCKS,POPULATION
1,5/5/3/1/6,12092,523334
2,3/3/8/3/8,7794,472338
3,2/2/2/8/8,6686,180688
4,6/6/4/5/2,4485,454810
5,8/8/2/4/4,4298,409274
6,2/2/6/8/3,3887,282303
7,1/1/5/7/1,3654,369188
8,2/2/2/8/5,2990,70037
9,7/7/1/1/6,2564,172891
10,3/3/8/4/8,2217,113370
11,7/7/1/2/5,2177,164314
12,1/1/6/7/1,2159,281766
13,5/5/4/5/2,2048,252839
14,8/8/1/2/5,2005,103725
15,6/6/5/6/3,1855,226056
16,4/4/8/2/7,1657,125608
17,2/2/2/8/4,1264,33293
18,4/4/1/2/7,1201,118051
19,7/7/3/6/5,1192,204894
20,2/2/6/8/4,1180,92783
21,4/4/7/2/7,1174,125270
22,3/3/7/3/7,967,97954
23,8/8/1/8/4,959,33766
24,4/4/8/4/7,932,53534
25,4/4/1/2/5,877,96610
26,4/4/7/3/7,752,91426
27,8/8/2/8/4,743,44644
28,4/4/7/4/7,658,58601
29,2/2/6/7/3,637,56995
30,1/1/5/6/1,633,92448
31,7/7/2/4/4,561,32398
32,2/2/1/8/4,539,26865
33,7/7/7/6/5,526,71931
34,6/6/5/5/2,494,38129
35,8/8/7/6/3,493,66602
36,4/4/1/1/7,450,20915
37,7/7/3/1/5,431,49623
38,8/8/7/4/4,393,47591
39,3/3/7/3/6,381,48838
40,3/3/7/2/7,356,36616
41,8/8/1/8/8,334,6046
42,7/7/7/4/4,277,28700
43,2/2/6/7/1,263,26856
44,8/8/5/6/3,213,16266
45,4/4/1/3/7,185,28050
46,1/1/6/7/3,180,24024
47,4/4/7/3/6,174,29977
48,8/8/7/4/3,168,13349
49,6/6/4/6/3,165,34100
50,8/8/7/6/4,139,19091
51,7/7/4/5/2,132,10650
52,8/8/1/8/5,126,2395
53,8/8/6/4/3,115,6672
54,7/7/4/6/2,90,9756
55,6/6/5/5/3,88,14965
56,4/4/7/6/7,84,8816
57,7/7/5/6/3,75,10911
58,8/8/7/7/3,74,4623
59,4/4/7/1/6,67,5189
60,7/7/7/4/5,55,5869
61,4/4/7/1/7,50,5130
62,1/1/7/7/3,44,5466
63,7/7/4/6/3,44,5332
64,7/7/7/6/4,42,6563
65,6/6/4/6/2,22,2885
66,2/2/6/4/3,19,735
67,6/6/5/7/3,11,1483
68,4/4/1/1/6,7,560
69,8/8/6/7/3,4,302
70,5/5/3/1/2,3,127
71,5/5/4/1/2,1,18
